Name	Description	p-value	q-value	pheontype	genes
 GO:0044242	cellular lipid catabolic process	1.22e-07	1.22e-07	1	SCARB1,RAB7A,HADHA,GLA,PLA2G15,DECR1,AADAC,MCEE,LDLR,PPT1,PNPLA8,TYSND1,PLIN1,GBA,PNPLA2,IRS2,ACAD10,PCCB,ACADL,ACADM,ECHS1,ETFA,ACAD8,MMAA,BDH2,PCCA,AMACR,HAO1,GCDH,EHHADH,SCP2,ACADS,IVD,SLC27A2,MUT,ECI1,ACOX2,ETFDH,CYP4F2,CYP4F12,CYP4A11,BCO2,ACAD11,CROT,CPS1,ACAA1,PHYH,ABCD3,PRDX6,HSD17B4,ACOX1,FABP1,PEX2,LIPC,ACADSB,FABP12
 GO:1901615	organic hydroxy compound metabolic process	6.44e-16	6.44e-16	1	DPM1,NR1H4,IGF1,DKK3,SOAT1,RDH11,ALDH3A2,SCARB1,NCOA1,HSD3B7,PLA2G15,ABCC3,CHPT1,LPCAT3,DBH,LDLR,GCH1,CEPT1,PNPLA8,FDX1,CYP11A1,NPC1,PNMT,CYP17A1,AGPAT6,CYP11B1,FDXR,ABCA1,ZEB2,DPAGT1,CYP7B1,GBA,CYP11B2,TH,CLN3,CACNA1H,CYP21A2,SNCAIP,LRP2,MIOX,PGCP,CUBN,DAO,ACADL,ACADM,PCK1,BBOX1,DDC,DMGDH,RBP4,IMPA2,SOD1,DHRS4,ACAA2,PLA2G4F,PDDC1,SLC22A4,SLC22A5,GK,AMACR,PON1,ALDH3B1,MAOB,ABCB11,SLC27A5,SEC14L2,SLC10A1,HAO1,ALDH2,SLCO1B3,SCP2,GOT1,EPHX2,AKR1D1,ALDH3B2,CYP27A1,BAAT,ALDH1B1,SLC44A5,SORD,SLC27A2,CYP1A1,CYP39A1,ALDH1A1,ACOX2,PAH,ADH6,SHMT1,CYP8B1,CYP4F2,CYP4F12,CYP4A11,ADH1A,ADH1B,ADH4,AKR1C4,TNF,ADH1C,CYP51A1,IDI1,FDFT1,SQLE,SLC5A5,MINPP1,SC5DL,MVK,HMGCR,SCAP,DHCR24,PARK7,NUDT10,CITED1,ACSS2,HSD17B7,LPIN1,NSDHL,IDI2,TM7SF2,FDPS,PMVK,HPRT1,MVD,DHCR7,NUDT4,NUDT11
 GO:0006066	alcohol metabolic process	1.26e-08	1.26e-08	1	DPM1,NR1H4,IGF1,DKK3,SOAT1,RDH11,ALDH3A2,SCARB1,PLA2G15,CHPT1,LPCAT3,LDLR,CEPT1,PNPLA8,FDX1,CYP11A1,CYP17A1,AGPAT6,CYP11B1,FDXR,ABCA1,DPAGT1,CYP7B1,GBA,CYP11B2,CLN3,CACNA1H,CYP21A2,PON1,ALDH3B1,SEC14L2,HAO1,ALDH2,SCP2,GOT1,EPHX2,AKR1D1,ALDH3B2,CYP27A1,ALDH1B1,SLC44A5,SORD,CYP1A1,CYP39A1,ALDH1A1,ADH6,CYP8B1,ADH1A,ADH1B,ADH4,TNF,ADH1C,CYP51A1,IDI1,FDFT1,SQLE,MINPP1,SC5DL,MVK,HMGCR,SCAP,DHCR24,PARK7,NUDT10,ACSS2,HSD17B7,LPIN1,NSDHL,IDI2,TM7SF2,FDPS,PMVK,MVD,DHCR7,NUDT4,NUDT11
 GO:1901617	organic hydroxy compound biosynthetic process	1.21e-07	1.21e-07	1	NR1H4,DKK3,HSD3B7,CHPT1,DBH,GCH1,CEPT1,PNMT,AGPAT6,CYP11B1,ZEB2,DPAGT1,CYP7B1,GBA,CYP11B2,TH,CACNA1H,ABCB11,SLC27A5,SEC14L2,SCP2,GOT1,AKR1D1,CYP27A1,BAAT,SLC44A5,SLC27A2,CYP39A1,ACOX2,PAH,SHMT1,CYP8B1,AKR1C4,TNF,CYP51A1,IDI1,FDFT1,SQLE,SC5DL,MVK,HMGCR,SCAP,DHCR24,PARK7,CITED1,HSD17B7,LPIN1,NSDHL,IDI2,TM7SF2,FDPS,PMVK,MVD,DHCR7
 GO:0042445	hormone metabolic process	3.09e-08	3.09e-08	1	DKK3,RDH11,AKR1B1,HIF1A,ECE1,SCPEP1,PCSK2,FDX1,CYP11A1,STAR,CYP17A1,CYP11B1,FDXR,CYP11B2,CACNA1H,HSD3B1,HSD3B2,AKR1B15,CYP21A2,PGCP,RBP4,ENPEP,ADM,ACE,SHH,ANPEP,MME,HSD17B8,UGT1A9,UGT1A8,UGT1A7,HSD17B6,CTSZ,SCP2,ALDH8A1,AKR1D1,ALDH1A2,ALDH9A1,UGT2B4,UGT2B7,ALDH1A3,BCO2,ADH4,AKR1C4,UGT2B11,UGT1A1,UGT1A3,PCSK5,LHB,CGB,STC2,SCPEP1,ACE2,CGA,AGT,ENPEP,ACE,ANPEP,KLK6,STARD5,SULT1B1,CGB5,CGB7,MME,CGB8,AKR1B1,CYP26A1,LHB,CGB,HSD17B1,CGA,CYP19A1,SRD5A1,CGB5,CGB7,HSD3B1,HSD3B2,CGB8
 GO:0034754	cellular hormone metabolic process	1.05e-09	1.05e-09	1	DKK3,RDH11,AKR1B1,ECE1,SCPEP1,FDX1,CYP11A1,STAR,CYP17A1,CYP11B1,FDXR,CYP11B2,CACNA1H,HSD3B1,HSD3B2,AKR1B15,CYP21A2,HSD17B6,SCP2,ALDH8A1,AKR1D1,ALDH1A2,UGT2B4,UGT2B7,ALDH1A3,BCO2,ADH4,AKR1C4,UGT2B11,UGT1A1,UGT1A3,RETSAT,SULT1E1,HSD17B4,AKR1C2,CYP3A4,SDR16C5,AKR1C1,SULT1A1,HSD17B11
 GO:0008202	steroid metabolic process	2.14e-20	2.14e-20	1	NR1H4,DKK3,SOAT1,NCOA1,AKR1B1,HSD3B7,ABCC3,FDX1,CYP11A1,NPC1,STAR,CYP17A1,CYP11B1,FDXR,ABCA1,CYP7B1,CYP11B2,CACNA1H,HSD3B1,HSD3B2,AKR1B15,CYP21A2,HSD17B6,ABCB11,SLC27A5,SEC14L2,CYP2D6,SLC10A1,SULT2A1,SLCO1B3,SCP2,HSD11B1,EPHX2,AKR1D1,CYP2E1,CYP27A1,BAAT,CYP2C9,SLC27A2,CYP1A1,CYP1A2,CYP39A1,UGT2B4,CYP2C19,ACOX2,UGT2B7,CYP8B1,UGT2B15,CYP2B6,UGT2B17,AKR1C4,UGT2B11,TNF,UGT1A1,CYP2A6,ACAA1,CYP3A5,ERLIN1,SULT1E1,HMGCS1,HSD17B4,SLCO1B1,EBP,AKR1C2,LSS,CYP3A4,SOAT2,AKR1C1,SULT1A1,HSD17B11,CYP51A1,IDI1,FDFT1,SQLE,SC5DL,MVK,HMGCR,SCAP,DHCR24,HSD17B7,NSDHL,IDI2,TM7SF2,FDPS,PMVK,MVD,DHCR7
 GO:0006694	steroid biosynthetic process	4.97e-08	4.97e-08	1	NR1H4,DKK3,AKR1B1,HSD3B7,FDX1,CYP11A1,STAR,CYP17A1,CYP11B1,FDXR,CYP7B1,CYP11B2,CACNA1H,HSD3B1,HSD3B2,AKR1B15,CYP21A2,HSD17B6,ABCB11,SLC27A5,SEC14L2,SCP2,HSD11B1,AKR1D1,CYP27A1,BAAT,SLC27A2,CYP39A1,ACOX2,CYP8B1,AKR1C4,TNF,CYP51A1,IDI1,FDFT1,SQLE,SC5DL,MVK,HMGCR,SCAP,DHCR24,HSD17B7,NSDHL,IDI2,TM7SF2,FDPS,PMVK,MVD,DHCR7
 GO:0010876	lipid localization	6.72e-07	6.72e-07	1	ABCB4,NR1H4,SOAT1,SCARB1,NCOA1,ABHD4,ABCC3,COL4A3BP,C2ORF43,LDLR,CRP,PNPLA8,ABCA8,NPC1,RFT1,ABCA1,STOML2,BSCL2,SLCO2A1,PNPLA2,IRS2,APOD,PON1,ABCB11,ACACB,SLC27A5,SLC10A1,SLCO1B3,SCP2,BAAT,SLC27A2,ACSL1,ABCA6,ABCA10,CPT2,SLC25A20,CYP4F2,CYP4A11,AKR1C4,ATP10A,TNF,ATP11A,APOB,APOH,TSPO,PLTP,APOA4,APOC3,APOA1,APOE,APOC1,P2RX4,AGT,LAMTOR1,APOA2,PRKCD,CIDEA,PSAP,APOM,LCAT,APOC2,APOC4
 KEGG:00140	Steroid hormone biosynthesis	1.6e-18	1.6e-18	1	COMT,CYP11A1,CYP17A1,CYP11B1,CYP7B1,CYP11B2,HSD3B1,HSD3B2,CYP21A2,HSD17B6,UGT2B10,HSD11B1,AKR1D1,CYP2E1,UGT2B28,CYP1A1,CYP1A2,UGT2B4,UGT1A6,UGT2B7,UGT2A1,UGT2B15,UGT2B17,AKR1C4,UGT2B11,UGT1A5,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT2A2,HSD17B2,CYP3A5,SULT1E1,AKR1C2,CYP3A4,CYP3A7,AKR1C1,CYP3A7-CYP3AP1
 REAC:446203	Asparagine N-linked glycosylation	8.4e-12	8.4e-12	1	DPM1,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,COG6,COG2,COG3,CTAGE5,SYVN1,RFT1,COG5,COG1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2,SEL1L,ARCN1,NANS,TSTA3,MAN1A1,GORASP1,ALG5,COPA,COPB1,INS-IGF2,GFPT2,OS9,UGGT1,SEC31A,PMM2,GMPPA,SEC24D,TMED3,GMPPB,MCFD2,COPB2,F8,GFPT1,INS,ARF5,COPZ2,ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,TUSC3,LHB,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,MPDU1,DAD1,MGAT1,TMED7,CGA,NPL,RAB1A,RPN1,PDIA3,LMAN2,TMED10,RAB1B,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 REAC:211859	Biological oxidations	6.71e-47	6.71e-47	1	NR1H4,NCOA1,COMT,GGT5,AADAC,MTRR,FDX1,CYP11A1,EPHX1,CYP4V2,CYP17A1,SLC35B2,CYP11B1,FDXR,GSTA4,CYP7B1,CYP11B2,PAPSS2,AS3MT,CYP21A2,FMO1,DPEP1,AKR7A2,ACSM2B,GGT1,AKR1A1,ACY3,CNDP2,GGT2,BPHL,TPMT,GLYAT,GLYATL2,CMBL,GLYATL1,ACSM2A,SULT1C2,ACSM4,UGT1A9,UGT1A8,ACY1,UGT1A7,FMO3,MGST1,MAOB,FMO2,CYP2D6,SULT2A1,CYP2C18,UGT2B10,ALDH2,POR,CYP2E1,UGT2B28,CYP27A1,ALDH1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP39A1,MAT1A,UGT2B4,CYP4A22,AKR7A3,ALDH1A1,CYP2C19,NNMT,ACSM1,UGT1A6,UGP2,UGT2B7,CYP4F11,CES2,ADH6,UGT2A1,OPLAH,CYP8B1,ACSM5,CYP4F2,CYP4F12,CYP4F8,CYP4F3,CYP4A11,ADH1A,ADH1B,UGT2B15,CYP2B6,CYP2A13,UGT2B17,CYP2A7,ADH4,CES1,UGT2B11,UGT1A5,UGT1A1,UGT1A3,UGT1A4,ADH1C,CYP2A6,UGT2A2,CYP3A43,MGST2,AHCY,CYP3A5,SULT1E1,UGDH,CYP2J2,SLC26A1,GSTO1,CYP3A4,CYP3A7,SULT1A1,GSTK1,ADH5,SULT1C4,SULT1A3,CYP3A7-CYP3AP1
 REAC:5368286	Mitochondrial translation initiation	5.05e-08	5.05e-08	1	MRPL43,MRPS24,MTIF2,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,MRPL16,MRPS22,MRPS11,MRPL20,MRPS6,MRPS21,MRPS10,MRPS31,MRPS30,MRPS26,MRPS25,MRPL47,ICT1,MRPL11,MRPS16,MRPS34,MRPL28,MRPS26,MRPS9,MRPL49,MRPL13,MRPS23,MRPL23,MRPS17
 REAC:5419276	Mitochondrial translation termination	5.05e-08	5.05e-08	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,GFM2,MRPL16,MRPS22,MRPS11,MRPL20,MRPS6,MRPS21,MRPS10,MRPS31,MRPS30,MRPS26,MRPS25,MRPL47,ICT1,MRPL11,MRPS16,MRPS34,MRPL28,MRPS26,MRPS9,MRPL49,MRPL13,MRPS23,MRPL23,MRPS17
 REAC:5389840	Mitochondrial translation elongation	5.05e-08	5.05e-08	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,MRPL16,GFM1,MRPS22,MRPS11,MRPL20,MRPS6,MRPS21,MRPS18A,MRPL4,MRPL3,MRPS7,MRPL34,MRPL15,TUFM,MRPL30,MRPS10,MRPS31,MRPS30,MRPS26,MRPS25,MRPL47,ICT1,MRPL11,MRPS16,MRPS34,MRPL28,MRPS26,MRPS9,MRPL49,MRPL13,MRPS23,MRPL23,MRPS17
 REAC:5653656	Vesicle-mediated transport	0.000536	0.000536	1	USE1,EXOC5,SCARB1,RAB10,KIF16B,KLC3,NAPA,DNASE2,AP1S1,SEC23IP,HSPA8,MAN2A1,RAB3GAP1,ARL1,AP1M2,CHMP2A,EXOC4,AP3B1,COG6,TBC1D8B,GNS,COG2,COG3,CENPE,SURF4,CTAGE5,BICD1,TGOLN2,COG5,COG1,EXOC3,YIPF6,TRAPPC6B,BICD2,RALGAPA2,TRAPPC2,SYS1,MSR1,CHMP2B,ARCN1,TRIP11,ARFRP1,SH3D19,MAN1A1,GORASP1,COLEC11,COPA,COPB1,INS-IGF2,SNX9,GCC2,SEC31A,GALNT1,RPS27A,GOLGA4,TMF1,HYOU1,SEC24D,CHMP4C,TMED3,COL3A1,MCFD2,COPB2,F8,KIF13B,INS,ARF5,COPZ2,STAB1,TFRC,PICALM,LMAN1,RAB11A,MAN1C1,RAB9A,AP1M2,TMED7,RAB1A,CLTC,DAB2,ALPP,GJB7,HSP90B1,LMAN2,TMED10,RAB1B,CALR,HBA2,TRAPPC4,MAN1A2,F5,HBA1,HBB,SEC22B
 GO:0061061	muscle structure development	1.58e-13	1.58e-13	1	FHL1,EHD2,MYLK,EVC,NOS1,MYLK2,DMPK,SGCE,MYH11,ITGA7,MYPN,ACTA1,TAGLN,DISP1,ACTC1,LMOD1,T,GREM1,HINFP,SMTN,SVIL,DMD,PKP2,ACTN2,NEBL,MYH7,SGCG,SGCA,MYH3,MYL2,CENPF,TNNI3,MYBPC3,MYPN,ANKRD1,OBSCN,TTN,MYL3,LMOD3,FBXO40,ANKRD2,CDH2,TCAP,SGCZ,RYR1,MYH6,RYR2,DMD,ACTN3,MYL6,ABL1,MYLK2,AXIN1,MYH14,CEACAM5,MYH11,COL6A3,GREM1,TBX5,SIX4,BVES,TNNC1,SMYD1,TNNT2,OBSL1,BMP4,CSRP3,TMOD1,MYLK3,ITGB1BP2,SORBS2,PDLIM5,TBX20,LMOD2,SLC8A1
 GO:0090131	mesenchyme migration	5.66e-06	5.66e-06	1	ACTA2,ACTA1,ACTC1,ACTG2,ACTA2,ACTA1,ACTC1,ACTG2,ACTA2,ACTA1,ACTC1,ACTG2
 GO:0031589	cell-substrate adhesion	5.18e-09	5.18e-09	1	ITGA3,ACTN1,FERMT2,SORBS1,TRIOBP,AGR2,KANK1,CORO1C,FN1,SGCE,ITGA7,ADAM15,RSU1,ITGB1,ITGA5,ILK,LIMS1,ITGB3,ITGA3,HRG,APOA1,LAMA5,LAMC1,ALOX15,NPNT,MYADM,CIB1,BCAM,S100A10,EMP2,ITGA3,MYOC,VCL,EPHA3,COL17A1,FERMT2,FBLN1,ITGA8,SLC9A1,SORBS1,TRIOBP,OLFM4,MSLN,KANK1,PLAU,ITGA7,PHLDB2,ITGB1,PTPRK,ITGA5,MFI2,LIMS1,PEAK1,BCAM,S100A10,ITGA1,FERMT2,LAMB1,SORBS1,FN1,CD63,LAMC1,COL3A1,MYADM,FLNA,ITGA1
