	Fetal_Gut	Fetal_Ovary	Fetal_Placenta	Fetal_Testis	Fetal_Brain	Fetal_Heart	Fetal_Liver
NUCLEOSOME ASSEMBLY%GO%GO:0006334	2.2985375	1.6517192	2.3128912	2.5220902	2.3186197	2.043815	2.4194818
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	2.2950597	1.6048446	2.5396554	2.5296664	2.3974469	2.1130247	2.4943047
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	2.2940977	0	1.7268157	0.87725675	1.0302242	1.2117894	2.0241942
DNA PACKAGING%GO%GO:0006323	2.2850475	1.6814908	1.7113544	2.126929	2.1880383	1.9680012	2.435737
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	2.2578263	1.6847607	1.9175894	2.3540113	2.1575646	2.1173146	2.1731062
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	2.2548025	1.6346139	2.2406294	2.121122	2.2514966	1.9368036	2.1588233
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	2.2230954	0.7425121	0.74257874	0	0	0.95805955	0.9389879
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	2.190729	1.733005	1.6334734	2.2191713	2.108396	2.068581	1.9159824
NUCLEOSOME ORGANIZATION%GO%GO:0034728	2.1694813	1.7185686	1.9076841	2.3131766	2.2696185	2.029871	1.9662646
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	2.143569	0	1.1498759	0	1.5644097	0.7727149	0
XENOBIOTICS%REACTOME%REACT_13543.2	2.1399465	0	1.0265806	0.8382134	1.5935899	1.4482535	1.7564375
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	2.1223814	0.8770625	1.4692637	0.9309083	0	0	1.0593588
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	2.1200364	1.7364172	1.7589562	2.2073405	2.2031608	2.0273	1.9046605
HORMONE SECRETION%GO%GO:0046879	2.0973024	0	0.90670806	0	0.98796916	0.9660249	0.82394534
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	2.0939562	0	0	1.2907425	0	0	2.4691885
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	2.081053	0	2.3812141	1.9635875	1.6951357	1.7050254	2.1180415
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	2.0712013	0.9918526	1.4563407	1.0013205	0	0	0.9770579
DNA CONFORMATION CHANGE%GO%GO:0071103	2.0696783	1.6316272	1.3528501	1.8598204	1.9586691	1.7953618	2.0326908
PROTEIN O-LINKED GLYCOSYLATION%GO%GO:0006493	2.0677495	0.70012265	1.3091813	0.78473413	0	0.47912014	1.1534853
PURINE RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GO%GO:0034035	2.0574822	1.1030357	1.0827523	1.6198761	0	0.8031639	1.7122734
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	2.0564375	1.1061176	1.092378	1.6454182	0	0.80463165	1.753036
PEPTIDE HORMONE SECRETION%GO%GO:0030072	2.0497863	0	0	0	1.1566604	1.1321425	0.97517395
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	2.0492623	1.6789451	2.449307	2.2946131	1.3589272	1.9158509	2.5482054
PEPTIDE SECRETION%GO%GO:0002790	2.040134	0	0	0	1.133081	1.1504174	0.9802327
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	2.0217204	1.6672946	1.5747956	2.0336826	1.9619266	1.9345738	1.9773695
TRANSCRIPTION%REACTOME%REACT_1788.4	2.0169444	1.7453471	0	2.0494509	1.7366475	1.8441608	1.7945113
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	2.013251	1.6501461	2.7839012	2.379236	1.3196641	1.9917363	2.7887146
RIBOSOME%KEGG%HSA03010	2.0084832	1.6537846	2.7588487	2.3888538	1.3346848	2.012905	2.7458606
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	2.0035377	1.5850945	2.5718904	2.3714705	2.2431989	2.1233459	2.257931
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	2.0020087	1.6599821	2.7497282	2.458987	1.3610057	2.0283625	2.8183496
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	2.000642	1.6982112	2.7152784	2.36409	1.3025079	2.0421255	2.5854306
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	1.9970558	1.658312	2.6556869	2.3271048	1.3850948	2.0160172	2.6911805
VIRAL TRANSCRIPTION%GO%GO:0019083	1.9939733	1.6514868	2.824631	2.3650963	1.3313706	2.0039155	2.7171264
VITAMIN DIGESTION AND ABSORPTION%KEGG%HSA04977	1.9914577	0	0.8108897	0.84269196	0	0	1.3176199
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	1.9823548	0.66180235	1.7375921	0	0	1.1971481	0.69427717
SECONDARY METABOLIC PROCESS%GO%GO:0019748	1.979307	0.53316426	0	1.1938353	0	0.56238604	1.6616923
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	1.9635476	1.660458	2.7818584	2.393131	1.344562	2.0072272	2.7459512
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	1.9584825	0.9553702	1.3879433	0.9263671	0	0.5755966	1.6623964
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	1.9558442	0	0	0	0	0	2.243033
MRNA SPLICING%REACTOME%REACT_1735.3	1.9545605	2.080586	0	2.1304324	1.9047484	1.9442123	1.7149229
TRANSLATIONAL TERMINATION%GO%GO:0006415	1.9488871	1.6577072	2.7537017	2.4476202	1.3639767	2.032483	2.7154844
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	1.9450964	1.7272986	2.5872948	2.2894483	1.4434061	2.0494719	2.61843
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	1.942685	0	1.8263522	0.5629398	0.8723042	1.2227236	0.7964123
TRANSLATIONAL INITIATION%GO%GO:0006413	1.9332721	1.7408757	2.4608617	2.2473447	1.5176274	2.0822809	2.541802
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	1.9303927	1.7486469	2.560256	2.2797954	1.4559951	2.0503776	2.5841281
GLUCURONIDATION%REACTOME%REACT_6784.3	1.9274745	0	1.231609	0	0	0	1.9899141
PRE-MRNA SPLICING%REACTOME%REACT_467.3	1.9221158	2.0755413	0	2.1429803	1.8981057	1.9581751	1.7166566
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	1.9184393	1.7168596	2.6546135	2.3252997	1.3872051	2.0210361	2.630025
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	1.9153771	1.7167888	2.6925495	2.3410063	1.3694957	2.0426383	2.6002135
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	1.9130545	1.7169342	2.7121322	2.323528	1.3712103	2.0642745	2.660984
FAT DIGESTION AND ABSORPTION%KEGG%HSA04975	1.9125139	0	0	0	0	0	1.4211209
ENDOCRINE PROCESS%GO%GO:0050886	1.910486	0	1.6469144	0	0	0.81870264	0
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	1.9090172	1.6476836	2.3022897	2.1310694	1.4917575	2.0131352	2.2377846
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	1.9072243	1.6475445	2.486172	2.2691836	1.4941849	1.9642859	2.470949
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	1.8989555	1.614652	2.5770278	2.235642	1.4384575	1.9613047	2.5614235
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	1.8986841	1.656788	2.5022278	2.2378514	1.47637	1.9548197	2.4654956
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	0.8723184	2.1201143	0	1.7270883	0.6773682	1.7384183	1.0315588
U12 DEPENDENT SPLICING%REACTOME%REACT_1753.3	1.8103473	2.116558	0	2.0006835	1.4601157	1.6191132	1.2614465
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	0.85673046	2.1047156	0	1.7532388	0.6734444	1.7246463	1.0497906
DNA REPLICATION%KEGG%HSA03030	1.8388709	2.0822146	0	1.9033612	1.3730853	1.8540103	2.0562847
DNA STRAND ELONGATION%REACTOME%REACT_932.6	1.8750902	2.070492	0	1.8331494	1.2330476	1.9185678	2.110031
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	1.8332396	2.0410779	0	2.1132817	2.0782375	1.9897758	1.5469651
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	1.8372633	2.03618	0	2.1225214	2.0929353	1.9940269	1.5699703
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	1.8302572	2.0264459	0	2.1424077	2.0766644	1.987685	1.5584711
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	1.8658885	2.0230968	0	1.7929667	1.224062	1.8968146	2.0581222
DNA STRAND ELONGATION%GO%GO:0022616	1.8657155	2.022559	0	1.8027126	1.2211095	1.9043342	2.0283673
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	1.7814795	2.0142415	0	2.097467	1.7900087	1.8581148	1.6423769
BIOCARTA_EIF_PATHWAY%MSIGDB_C2%BIOCARTA_EIF_PATHWAY	0.97161996	2.005926	0	1.6006896	1.1104053	1.456097	1.5024582
RNA SPLICING%GO%GO:0008380	1.7375277	2.000299	0	2.132089	2.036921	1.9955211	1.5659851
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	1.6736902	1.9966451	1.2360004	1.7324326	1.1318898	1.7969165	1.8006647
SPLICEOSOMAL SNRNP ASSEMBLY%GO%GO:0000387	0.92085683	1.9924237	0	1.7255173	1.734942	1.673054	1.162174
SPLICEOSOME%KEGG%HSA03040	1.7929779	1.9918668	0	2.0353296	2.1063435	1.9431423	1.5777686
BASE EXCISION REPAIR%KEGG%HSA03410	1.0783718	1.989811	0	1.5695229	1.2193438	1.3830975	1.4202943
MEIOSIS I%GO%GO:0007127	1.3597986	1.9843844	0	1.521959	0.7378057	1.3945225	1.0802274
SNRNP ASSEMBLY%REACTOME%REACT_11066.1	0.8747836	1.9830987	0	1.7035148	1.3174334	1.4131116	1.0337929
NON-CODING RNA METABOLISM%REACTOME%REACT_11052.2	0.8753858	1.980734	0	1.7037182	1.3099575	1.4098146	1.0405133
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	1.7320879	1.9772555	0	1.6943656	1.00279	1.8411	1.8608615
MRNA PROCESSING%REACTOME%REACT_1675.2	1.7100352	1.969995	0	2.067824	1.7389618	1.8054272	1.4910527
MISMATCH REPAIR%KEGG%HSA03430	1.5254942	1.9688303	0	1.8226734	0.8514372	1.9044727	2.001042
TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME%REACT_338.2	1.0651304	1.9687989	1.1978539	1.6554219	0.8963582	1.2214084	1.0247176
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3	1.391262	1.9661438	0	1.6872867	0.9358588	1.7358521	1.7344505
EXTENSION OF TELOMERES%REACTOME%REACT_8030.5	1.477095	1.9637767	0	1.754829	0.8025048	1.7295338	1.727395
TRANSCRIPTION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006383	1.1235023	1.9606944	0	1.3002158	0	1.2493707	0
G2 M CHECKPOINTS%REACTOME%REACT_828.2	1.4257361	1.9592298	1.0467091	1.8232188	1.084055	1.6194127	1.6598965
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER%REACTOME%REACT_1036.2	1.1424795	1.9535769	0	1.3594936	0	1.0618325	0
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3	1.3517861	1.945511	0	1.7148498	0.9345189	1.7560828	1.7143602
MRNA PROCESSING%GO%GO:0006397	1.6546746	1.9414005	0	2.0500653	1.9656795	1.9100004	1.4068859
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%REACT_6769.1	1.4997523	1.940052	1.043323	1.8199472	1.1080403	1.5750085	1.6462195
INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%REACT_6916.4	0	1.939699	1.5484579	1.6233585	0.83738756	1.1603583	0.9023986
REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3	1.2967976	1.9381039	0	1.7922261	1.0165136	1.7352933	1.7372943
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT%REACTOME%REACT_1835.3	1.0786221	1.937199	1.1936467	1.6553409	0.9233184	1.1968106	1.0401984
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%REACT_6261.3	1.3727695	1.9348615	0	1.8005334	0	1.2343562	0.76108456
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 1 PROMOTER%REACTOME%REACT_347.3	1.1490214	1.9348347	0	1.388806	0	1.0586929	0
RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%REACT_281.3	1.0971951	1.927956	0	1.2951357	0	1.1668847	0
TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM%REACTOME%REACT_1281.4	1.4095852	1.9252931	1.3452512	1.8430681	1.390633	1.5107626	1.494794
TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME%REACT_405.3	0.90133035	1.9185404	1.4078581	1.5468225	0.83240336	1.1227748	0.9937887
VPR-MEDIATED NUCLEAR IMPORT OF PICS%REACTOME%REACT_7991.2	0	1.9158856	1.594121	1.5123798	0.94086504	1.042736	0.8572491
TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS%REACTOME%REACT_7961.4	1.5036051	1.9155531	0	1.6684451	0.85245293	1.6715614	1.762048
HOMOLOGOUS RECOMBINATION%KEGG%HSA03440	1.5843182	1.9121394	0	1.5248669	0	1.5480665	1.542262
TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA%REACTOME%REACT_424.3	0.9256491	1.9113955	1.3590527	1.5530385	0.85896814	1.0806451	1.0116985
REPAIR SYNTHESIS FOR GAP-FILLING BY DNA POLYMERASE IN TC-NER%REACTOME%REACT_1993.3	1.2809956	1.9103631	0	1.7671477	1.0156529	1.7363212	1.6894673
REV-MEDIATED NUCLEAR EXPORT OF HIV-1 RNA%REACTOME%REACT_6190.4	0	1.908256	1.6530093	1.5670778	0.8361928	1.0864106	0.938782
NUCLEAR IMPORT OF REV PROTEIN%REACTOME%REACT_9395.2	0	1.8975307	1.7553573	1.6171522	0.77317375	1.0519246	0.9445109
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRON-CONTAINING TRANSCRIPT%REACTOME%REACT_1597.3	1.3262688	1.8962288	1.5251791	1.8158131	1.395238	1.4601372	1.5042337
RESOLUTION OF ABASIC SITES (AP SITES)%REACTOME%REACT_1893.3	1.3273377	1.8922467	0	1.7235405	1.3959444	1.4798032	1.3588278
NUCLEOTIDE-EXCISION REPAIR, DNA GAP FILLING%GO%GO:0006297	1.5369349	1.8897527	0	1.7717915	0.9684374	1.6230731	1.5355353
TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GO%GO:0032201	1.5018257	1.8840393	0	1.7039449	0.8374132	1.693174	1.7355651
ELONGATION ARREST AND RECOVERY%REACTOME%REACT_1892.2	1.2997047	1.8824164	0	1.6986203	0.791167	1.3360602	1.0657505
BIOCARTA_MCM_PATHWAY%MSIGDB_C2%BIOCARTA_MCM_PATHWAY	1.4437423	1.8820657	1.3118513	1.6616011	1.402431	1.6219885	1.8069228
EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME%REACT_6296.2	0	1.8793492	1.6474022	1.5214843	0.77786547	1.0888044	0.74299216
HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6259.4	1.2784839	1.8767153	0	1.7046338	0.7844475	1.3291985	1.0579467
NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY%REACTOME%REACT_6179.3	0	1.8729969	1.7561839	1.4706628	0.9017664	0.9781918	0.89616543
PAUSING AND RECOVERY OF HIV-1 ELONGATION%REACTOME%REACT_6244.5	1.318697	1.8706094	0	1.6975032	0.7843713	1.3243427	1.0669993
RNA POLYMERASE III ABORTIVE AND RETRACTIVE INITIATION%REACTOME%REACT_22339.1	1.3975211	1.8695434	0	1.4789168	0	1.4010239	0
RNA TRANSPORT%KEGG%HSA03013	1.062903	1.866766	0	1.856157	1.5243374	1.5474384	1.4282178
TAT-MEDIATED HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6344.4	1.3099568	1.8632739	0	1.7519516	0.8010645	1.3582841	1.0972826
TRANSPORT OF RIBONUCLEOPROTEINS INTO THE HOST NUCLEUS%REACTOME%REACT_6248.3	0	1.863261	1.6475211	1.5177574	0.89801025	0.9675217	0
BASE EXCISION REPAIR%REACTOME%REACT_1104.2	1.2908198	1.8595148	0	1.7303941	1.3847833	1.465698	1.3728533
PAUSING AND RECOVERY OF TAT-MEDIATED HIV-1 ELONGATION%REACTOME%REACT_6143.5	1.3506775	1.8574736	0	1.7185025	0.7993975	1.3240254	1.0946059
RNA PROCESSING%GO%GO:0006396	1.567636	1.8549697	0	2.0448349	1.691168	1.8637999	1.495943
E2F MEDIATED REGULATION OF DNA REPLICATION%REACTOME%REACT_471.3	0.8631411	1.8506854	0	1.5880111	0.96823317	1.6766567	1.6312907
RNA POLYMERASE III TRANSCRIPTION TERMINATION%REACTOME%REACT_63.2	1.4384289	1.8480792	0	1.5497264	0.84532475	1.152895	0
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GO%GO:0022618	1.297878	1.8477002	0	1.875954	1.8566495	1.75407	1.5072856
REGULATION OF ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000381	1.6087171	1.847096	0	1.5312567	1.7784331	1.636385	1.1575314
RNA POLYMERASE III TRANSCRIPTION%REACTOME%REACT_1371.3	1.3909724	1.8458955	0	1.4634753	0	1.4034746	0
LAGGING STRAND SYNTHESIS%REACTOME%REACT_312.5	1.5770438	1.8434438	0	1.7010732	0.7063774	1.666268	1.7650363
REGULATION OF TRANSLATIONAL INITIATION%GO%GO:0006446	1.3249264	1.8426722	1.1176335	1.4689348	1.5528247	1.592815	1.2205434
TERMINATION OF RNA POLYMERASE III TRANSCRIPTION%GO%GO:0006386	1.0213114	1.8400223	0	1.3131516	0	0.70703906	0
S PHASE%REACTOME%REACT_899.6	1.3961557	1.8385313	0	2.05073	1.4023677	1.699253	2.163023
DNA REPLICATION%REACTOME%REACT_383.6	1.3249702	1.8382838	1.4079896	2.1001189	1.403669	1.8180404	2.2644038
TELOMERE MAINTENANCE VIA RECOMBINATION%GO%GO:0000722	1.2567929	1.8339081	0	1.6075126	0.70649725	1.7062384	1.71934
RNA POLYMERASE III CHAIN ELONGATION%REACTOME%REACT_756.2	1.0225033	1.8333212	0	1.3005564	0	0.7136178	0
SPLICEOSOMAL COMPLEX ASSEMBLY%GO%GO:0000245	1.4092438	1.8315866	0	1.8723619	1.8636506	1.7572557	0.9410228
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071826	1.3516295	1.8315641	0	1.8175975	1.781374	1.7778336	1.3595735
TRANSCRIPTION ELONGATION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006385	1.0361053	1.8311704	0	1.3315556	0	0.7187258	0
RNA POLYMERASE II TRANSCRIPTION ELONGATION%REACTOME%REACT_833.3	1.3880332	1.8260418	0	1.726921	0	1.3415189	0.8663002
MITOTIC RECOMBINATION%GO%GO:0006312	1.4291694	1.8255546	0	1.7122004	0.8777615	1.7424896	1.7052015
REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%REACT_6804.2	0	1.8250451	1.809758	1.4701765	0.76479703	0.85218847	0.8418827
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME%REACT_16936.2	1.0765163	1.8250338	0	1.7242117	2.2029152	2.0435815	2.0317147
POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3	1.4063605	1.8242195	0	1.9432201	1.3891757	1.8338901	1.6697156
CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3	1.398007	1.8229835	0	1.9422721	1.4008929	1.8037921	1.6421204
CELL CYCLE CHECKPOINTS%REACTOME%REACT_1538.1	1.1157218	1.8221587	1.4447665	2.042051	1.4949102	1.657486	2.0284975
FORMATION OF HIV-1 ELONGATION COMPLEX CONTAINING HIV-1 TAT%REACTOME%REACT_6346.4	1.3912573	1.8194381	0	1.756752	0	1.3471385	0.8874436
S PHASE OF MITOTIC CELL CYCLE%GO%GO:0000084	1.300888	1.8178471	0	2.0398767	1.3832672	1.728922	2.1272929
MITOTIC SISTER CHROMATID SEGREGATION%GO%GO:0000070	1.2656016	1.8175547	0	1.3610703	0.8790025	1.4659444	1.416348
CHROMATIN DISASSEMBLY%GO%GO:0031498	1.01425	1.8151406	0	1.5695596	1.4175619	1.6141609	0
G1 S TRANSITION%REACTOME%REACT_1783.2	1.2334303	1.8143669	1.3408793	2.0331848	1.4380989	1.6522486	2.0992985
MEIOSIS%GO%GO:0007126	1.0055113	1.8135896	0	1.4255024	1.1135441	1.2308954	1.1563238
FORMATION OF RNA POL II ELONGATION COMPLEX%REACTOME%REACT_1845.4	1.3816963	1.8133821	0	1.7129898	0	1.3276303	0.86801225
RNA LOCALIZATION%GO%GO:0006403	1.4815962	1.813268	0	1.7555182	1.8134655	1.4301653	1.3554277
MITOTIC PROMETAPHASE%GO%GO:0000236	0.99299765	1.8116741	0	1.5942605	1.1639547	1.4569179	1.0018424
REMOVAL OF DNA PATCH CONTAINING ABASIC RESIDUE%REACTOME%REACT_2192.3	1.1439794	1.8116275	0	1.6314669	1.2651378	1.3691579	1.4757174
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2	1.3971041	1.8109411	0	1.9379038	1.4005744	1.8277248	1.6782504
NUCLEOSOME DISASSEMBLY%GO%GO:0006337	1.0192858	1.8108499	0	1.5539227	1.3928545	1.6204463	0
SYNTHESIS OF DNA%REACTOME%REACT_2014.3	1.280111	1.8107005	1.3226048	2.106521	1.4283226	1.8568499	2.314229
ESTABLISHMENT OF RNA LOCALIZATION%GO%GO:0051236	1.489184	1.8104457	0	1.8002609	1.8170962	1.4007255	1.3709543
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%REACT_17029.2	1.1231486	1.8092967	0	1.7431393	2.2106178	2.078998	2.0842245
RNA EXPORT FROM NUCLEUS%GO%GO:0006405	1.4931085	1.8085307	0	1.742365	1.8518649	1.3411645	1.3826213
TAT-MEDIATED ELONGATION OF THE HIV-1 TRANSCRIPT%REACTOME%REACT_6162.3	1.3930513	1.8083395	0	1.7662487	0	1.3474191	0.8751264
MRNA METABOLIC PROCESS%GO%GO:0016071	1.6387097	1.8076131	0	2.1360407	1.8793155	1.9022229	1.7962661
RNA POLYMERASE II TRANSCRIPTION%REACTOME%REACT_1366.2	1.3645359	1.8063861	0	1.9363725	1.218558	1.599289	1.4952697
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 3 PROMOTER%REACTOME%REACT_571.3	0.8520665	1.803048	0	1.2136948	0	0.8011981	0
CHROMOSOME SEGREGATION%GO%GO:0007059	1.1571369	1.8030443	0	1.5530847	0.9846477	1.4393728	1.2812433
TERMINATION OF RNA POLYMERASE II TRANSCRIPTION%GO%GO:0006369	1.4277332	1.8023839	0	1.9279275	1.4015962	1.8583918	1.642792
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%REACT_1128.2	1.1367342	1.8021735	0	1.6401318	1.2365541	1.3802605	1.5059803
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GO%GO:0022613	1.434552	1.8021092	0	2.055285	1.5744543	1.7380474	1.6922874
FORMATION OF HIV-1 ELONGATION COMPLEX IN THE ABSENCE OF HIV-1 TAT%REACTOME%REACT_22201.2	1.3983448	1.8017375	0	1.7547473	0	1.3369045	0.85565037
