Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
NUCLEOSOME ORGANIZATION%GO%GO:0034728	NUCLEOSOME ORGANIZATION%GO%GO:0034728		89	3.84562845	14.3746647	0.01	0.01	0.209	6693	tags=67%, list=27%, signal=92%
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1		25	0.67097497	2.143569	0.01	0.01	0.022	1987	tags=44%, list=12%, signal=50%
XENOBIOTICS%REACTOME%REACT_13543.2	XENOBIOTICS%REACTOME%REACT_13543.2		16	1.39089647	3.896384	0.01	0.01	0.499	2104	tags=31%, list=6%, signal=33%
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3		34	0.61796004	2.1223814	0.01	0.01	0.038	3778	tags=68%, list=23%, signal=88%
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333		95	3.32388208	12.1989154	0.01	0.01	0.151	6693	tags=64%, list=27%, signal=88%
HORMONE SECRETION%GO%GO:0046879	HORMONE SECRETION%GO%GO:0046879		18	0.7173751	2.0973024	0.01	0.01	0.054	951	tags=39%, list=6%, signal=41%
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982		73	1.1950637	4.5631447	0.01	0.01	0.028	4738	tags=60%, list=29%, signal=84%
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322		133	2.07364843	8.5438961	0.01	0.01	0.03	4293	tags=64%, list=26%, signal=86%
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687		47	0.5669375	2.0712013	0.01	0.01	0.079	4165	tags=55%, list=25%, signal=74%
DNA CONFORMATION CHANGE%GO%GO:0071103	DNA CONFORMATION CHANGE%GO%GO:0071103		128	2.99698485	11.3478476	0.01	0.01	0.3745	6875	tags=58%, list=27%, signal=79%
PROTEIN O-LINKED GLYCOSYLATION%GO%GO:0006493	PROTEIN O-LINKED GLYCOSYLATION%GO%GO:0006493		56	0.5470306	2.0677495	0.01	0.01	0.081	2339	tags=36%, list=14%, signal=41%
PURINE RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GO%GO:0034035	PURINE RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GO%GO:0034035		15	0.7344451	2.0574822	0.01	0.01	0.088	2991	tags=73%, list=18%, signal=89%
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427		15	1.3679217	3.8094735	0.01	0.01	0.534	2991	tags=73%, list=18%, signal=89%
PEPTIDE HORMONE SECRETION%GO%GO:0030072	PEPTIDE HORMONE SECRETION%GO%GO:0030072		15	0.72775906	2.0497863	0.01	0.01	0.1	575	tags=40%, list=3%, signal=41%
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2		99	3.40979593	12.9361838	0.01	0.01	0.171166666666667	7028	tags=79%, list=30%, signal=111%
PEPTIDE SECRETION%GO%GO:0002790	PEPTIDE SECRETION%GO%GO:0002790		15	0.72775906	2.040134	0.01	0.01	0.111	575	tags=40%, list=3%, signal=41%
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2		116	3.0999144	11.5965675	0.01	0.01	0.2395	6812	tags=61%, list=27%, signal=84%
TRANSCRIPTION%REACTOME%REACT_1788.4	TRANSCRIPTION%REACTOME%REACT_1788.4		203	2.47201392	9.4504145	0.01	0.01	0.3708	7245	tags=65%, list=31%, signal=92%
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1		83	3.63351184	13.6069852	0.01	0.01	0.183333333333333	7634	tags=78%, list=30%, signal=111%
RIBOSOME%KEGG%HSA03010	RIBOSOME%KEGG%HSA03010		87	3.61053495	13.5687359	0.01	0.01	0.183	6794	tags=77%, list=30%, signal=109%
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653		16	4.81672643	13.5713744	0.01	0.01	0.0315	3621	tags=94%, list=22%, signal=120%
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2		83	3.67742011	13.7174181	0.01	0.01	0.179	6794	tags=78%, list=30%, signal=111%
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1		93	3.54903822	13.4057777	0.01	0.01	0.153833333333333	6794	tags=77%, list=30%, signal=109%
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1		88	3.57451403	13.3453572	0.01	0.01	0.183833333333333	6794	tags=78%, list=30%, signal=111%
VIRAL TRANSCRIPTION%GO%GO:0019083	VIRAL TRANSCRIPTION%GO%GO:0019083		83	3.63537785	13.5562293	0.01	0.01	0.190166666666667	6794	tags=77%, list=30%, signal=109%
VITAMIN DIGESTION AND ABSORPTION%KEGG%HSA04977	VITAMIN DIGESTION AND ABSORPTION%KEGG%HSA04977		21	0.6433949	1.9914577	0.01	0.01	0.224	2245	tags=52%, list=14%, signal=61%
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974		77	0.5015369	1.9823548	0.01	0.01	0.254	2647	tags=45%, list=16%, signal=54%
SECONDARY METABOLIC PROCESS%GO%GO:0019748	SECONDARY METABOLIC PROCESS%GO%GO:0019748		21	0.65167767	1.979307	0.01	0.01	0.266	1896	tags=43%, list=11%, signal=48%
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3		83	3.63085751	13.5521734	0.01	0.01	0.2015	6794	tags=77%, list=30%, signal=109%
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514		43	0.55011076	1.9584825	0.01	0.01	0.344	2057	tags=37%, list=12%, signal=42%
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053		27	1.31407703	4.1988772	0.01	0.01	0.1805	2715	tags=48%, list=11%, signal=54%
MRNA SPLICING%REACTOME%REACT_1735.3	MRNA SPLICING%REACTOME%REACT_1735.3		105	2.74364601	10.0145396	0.01	0.01	0.1786	6768	tags=75%, list=30%, signal=107%
TRANSLATIONAL TERMINATION%GO%GO:0006415	TRANSLATIONAL TERMINATION%GO%GO:0006415		84	3.62301088	13.5558836	0.01	0.01	0.214	6794	tags=77%, list=30%, signal=111%
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5		111	3.44238504	13.21704	0.01	0.01	0.158166666666667	6794	tags=75%, list=30%, signal=106%
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3		149	0.45003662	1.942685	0.01	0.01	0.415	633	tags=10%, list=4%, signal=10%
TRANSLATIONAL INITIATION%GO%GO:0006413	TRANSLATIONAL INITIATION%GO%GO:0006413		119	3.37083762	13.0064371	0.01	0.01	0.155333333333333	6794	tags=74%, list=30%, signal=104%
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1		111	3.44238504	13.1535967	0.01	0.01	0.153333333333333	6794	tags=75%, list=30%, signal=106%
GLUCURONIDATION%REACTOME%REACT_6784.3	GLUCURONIDATION%REACTOME%REACT_6784.3		18	1.3521629	3.9173886	0.01	0.01	0.298	2380	tags=50%, list=9%, signal=55%
PRE-MRNA SPLICING%REACTOME%REACT_467.3	PRE-MRNA SPLICING%REACTOME%REACT_467.3		105	2.74364601	9.9969182	0.01	0.01	0.2158	6768	tags=75%, list=30%, signal=107%
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2		104	3.47907763	13.2662732	0.01	0.01	0.193333333333333	6794	tags=75%, list=30%, signal=106%
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2		103	3.50794885	13.3085735	0.01	0.01	0.194833333333333	6794	tags=75%, list=30%, signal=106%
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2		103	3.50794885	13.3909074	0.01	0.01	0.196166666666667	6794	tags=75%, list=30%, signal=106%
FAT DIGESTION AND ABSORPTION%KEGG%HSA04975	FAT DIGESTION AND ABSORPTION%KEGG%HSA04975		37	0.5527939	1.9125139	0.01	0.01	0.577	2245	tags=46%, list=14%, signal=53%
ENDOCRINE PROCESS%GO%GO:0050886	ENDOCRINE PROCESS%GO%GO:0050886		25	0.60311645	1.910486	0.01	0.01	0.583	951	tags=40%, list=6%, signal=42%
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984		115	3.20206273	12.2409797	0.01	0.01	0.257	6794	tags=72%, list=31%, signal=103%
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2		103	3.35405375	12.7453593	0.01	0.01	0.260666666666667	7634	tags=74%, list=30%, signal=104%
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241		95	3.40834855	12.8490055	0.01	0.01	0.279	6794	tags=73%, list=30%, signal=103%
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1		103	3.35405375	12.7158666	0.01	0.01	0.264	7634	tags=74%, list=30%, signal=104%
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	Details ...	22	1.97454614	5.5856209	0.01	0.01	0.609333333333333	6011	tags=82%, list=11%, signal=92%
U12 DEPENDENT SPLICING%REACTOME%REACT_1753.3	U12 DEPENDENT SPLICING%REACTOME%REACT_1753.3	Details ...	41	1.3414379	4.1172415	0.01	0.01	0.0095	5882	tags=93%, list=24%, signal=122%
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	Details ...	22	1.97454614	5.5826007	0.01	0.01	0.594	6011	tags=82%, list=11%, signal=92%
DNA REPLICATION%KEGG%HSA03030	DNA REPLICATION%KEGG%HSA03030	Details ...	36	2.50154981	7.8958708	0.01	0.01	0.1195	5516	tags=86%, list=24%, signal=113%
DNA STRAND ELONGATION%REACTOME%REACT_932.6	DNA STRAND ELONGATION%REACTOME%REACT_932.6	Details ...	30	2.59357443	7.9322402	0.01	0.01	0.1355	5516	tags=90%, list=24%, signal=118%
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	Details ...	188	2.23525528	8.2223729	0.01	0.01	0.01875	6788	tags=84%, list=26%, signal=112%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	Details ...	188	2.23525528	8.2456636	0.01	0.01	0.0165	6788	tags=84%, list=26%, signal=112%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	Details ...	194	2.22707372	8.233203	0.01	0.01	0.02	6788	tags=83%, list=26%, signal=111%
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	Details ...	33	2.50432879	7.7710003	0.01	0.01	0.209	5516	tags=85%, list=24%, signal=111%
DNA STRAND ELONGATION%GO%GO:0022616	DNA STRAND ELONGATION%GO%GO:0022616	Details ...	35	2.48920125	7.7579731	0.01	0.01	0.1945	5516	tags=80%, list=24%, signal=105%
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	Details ...	133	2.15170284	7.759832	0.01	0.01	0.311	6768	tags=83%, list=24%, signal=108%
BIOCARTA_EIF_PATHWAY%MSIGDB_C2%BIOCARTA_EIF_PATHWAY	BIOCARTA_EIF_PATHWAY%MSIGDB_C2%BIOCARTA_EIF_PATHWAY	Details ...	16	0.7748621	2.005926	0.01	0.01	0.007	2937	tags=94%, list=18%, signal=114%
RNA SPLICING%GO%GO:0008380	RNA SPLICING%GO%GO:0008380	Details ...	221	2.19565158	8.1648301	0.01	0.01	0.02725	6788	tags=85%, list=30%, signal=119%
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	Details ...	28	2.43087451	7.3266589	0.01	0.01	0.604	4796	tags=75%, list=20%, signal=93%
SPLICEOSOMAL SNRNP ASSEMBLY%GO%GO:0000387	SPLICEOSOMAL SNRNP ASSEMBLY%GO%GO:0000387	Details ...	31	1.25128516	3.717941	0.01	0.01	0.469	5860	tags=87%, list=20%, signal=109%
SPLICEOSOME%KEGG%HSA03040	SPLICEOSOME%KEGG%HSA03040	Details ...	127	2.24412976	8.0766822	0.01	0.01	0.02775	6768	tags=82%, list=24%, signal=107%
BASE EXCISION REPAIR%KEGG%HSA03410	BASE EXCISION REPAIR%KEGG%HSA03410	Details ...	31	0.6822032	1.989811	0.01	0.01	0.008	3805	tags=71%, list=23%, signal=92%
MEIOSIS I%GO%GO:0007127	MEIOSIS I%GO%GO:0007127	Details ...	42	0.6640462	1.9843844	0.01	0.01	0.008	3525	tags=71%, list=21%, signal=91%
SNRNP ASSEMBLY%REACTOME%REACT_11066.1	SNRNP ASSEMBLY%REACTOME%REACT_11066.1		46	1.18260305	3.6866135	0.01	0.01	0.4925	5492	tags=98%, list=33%, signal=146%
NON-CODING RNA METABOLISM%REACTOME%REACT_11052.2	NON-CODING RNA METABOLISM%REACTOME%REACT_11052.2		46	1.18260305	3.6844522	0.01	0.01	0.492	5492	tags=98%, list=33%, signal=146%
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261		68	2.16624934	7.3735826	0.01	0.01	0.49225	5987	tags=75%, list=24%, signal=99%
MRNA PROCESSING%REACTOME%REACT_1675.2	MRNA PROCESSING%REACTOME%REACT_1675.2		150	1.66512675	5.8432462	0.01	0.01	0.191333333333333	6768	tags=90%, list=33%, signal=133%
MISMATCH REPAIR%KEGG%HSA03430	MISMATCH REPAIR%KEGG%HSA03430		22	2.67075207	7.6970184	0.01	0.01	0.175	5516	tags=82%, list=24%, signal=107%
TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME%REACT_338.2	TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME%REACT_338.2		33	0.6700408	1.9687989	0.01	0.01	0.008	5197	tags=97%, list=31%, signal=141%
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3		16	2.6633566	7.1237331	0.01	0.01	0.72525	5516	tags=94%, list=24%, signal=123%
EXTENSION OF TELOMERES%REACTOME%REACT_8030.5	EXTENSION OF TELOMERES%REACTOME%REACT_8030.5		27	1.86986697	5.4481395	0.01	0.01	0.590333333333333	5897	tags=78%, list=20%, signal=97%
TRANSCRIPTION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006383	TRANSCRIPTION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006383		39	0.66118085	1.9606944	0.01	0.01	0.009	4023	tags=74%, list=24%, signal=98%
G2 M CHECKPOINTS%REACTOME%REACT_828.2	G2 M CHECKPOINTS%REACTOME%REACT_828.2		41	1.2349861	3.7824486	0.01	0.01	0.234	4229	tags=73%, list=20%, signal=91%
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER%REACTOME%REACT_1036.2	RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER%REACTOME%REACT_1036.2		26	0.68381876	1.9535769	0.01	0.01	0.011	4023	tags=85%, list=24%, signal=112%
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3		16	2.03557235	5.4164436	0.01	0.01	0.593	5516	tags=94%, list=24%, signal=123%
MRNA PROCESSING%GO%GO:0006397	MRNA PROCESSING%GO%GO:0006397		251	2.10374522	7.8671457	0.01	0.01	0.09625	6788	tags=84%, list=33%, signal=125%
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%REACT_6769.1	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%REACT_6769.1		36	1.2369127	3.7599992	0.01	0.01	0.245	4229	tags=72%, list=20%, signal=90%
INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%REACT_6916.4	INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%REACT_6916.4		31	0.6687584	1.939699	0.01	0.01	0.015	5197	tags=97%, list=31%, signal=141%
REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3	REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3		15	2.69635997	7.2029176	0.01	0.01	0.6405	5516	tags=93%, list=24%, signal=123%
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT%REACTOME%REACT_1835.3	TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT%REACTOME%REACT_1835.3		32	0.6694513	1.937199	0.01	0.01	0.015	5197	tags=97%, list=31%, signal=141%
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%REACT_6261.3	ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%REACT_6261.3		23	1.31319514	3.7353949	0.01	0.01	0.301	5829	tags=91%, list=24%, signal=120%
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 1 PROMOTER%REACTOME%REACT_347.3	RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 1 PROMOTER%REACTOME%REACT_347.3		27	0.6823913	1.9348347	0.01	0.01	0.015	4023	tags=81%, list=24%, signal=108%
RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%REACT_281.3	RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%REACT_281.3		34	0.657819	1.927956	0.01	0.01	0.015	4023	tags=74%, list=24%, signal=97%
TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM%REACTOME%REACT_1281.4	TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM%REACTOME%REACT_1281.4		51	1.19066946	3.7683612	0.01	0.01	0.193	5838	tags=96%, list=34%, signal=146%
TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME%REACT_405.3	TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME%REACT_405.3		30	0.66808367	1.9185404	0.01	0.01	0.024	5197	tags=97%, list=31%, signal=141%
