	Fetal_Gut	Immune_Bcell	Adult_UrinaryBladder	Adult_AdrenalGland	Immune_CD4	Fetal_Ovary	Adult_Colon	Fetal_Placenta	Adult_Esophagus	Fetal_Testis	Adult_FrontalCortex	Adult_GallBladder	Fetal_Brain	Adult_Heart	Adult_SpinalCord	Fetal_Heart	Adult_Kidney	Fetal_Liver	Adult_Retina	Adult_Liver	Immune_CD8	Adult_Rectum	Adult_Lung	Immune_Monocyte	Adult_Prostate	Adult_Ovary	Immune_NK	Adult_Pancreas	Immune_Platelet
O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	2.3578932	0.97170085	1.2522624	0.555257	0	0.49892643	2.4595864	1.262416	1.2911499	0	0.8311612	1.1133573	0	0.79680616	0	0.7184786	1.1591161	1.0848504	0.7977182	1.2373723	0.9297494	1.2840052	1.5167942	1.5653473	1.8640366	0.5529891	0.7594882	1.274549	1.7114555
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	2.3529944	2.1553347	0	0	2.460087	1.7178553	0	2.0387113	0	2.3605707	0	0	2.1470144	0	0	2.06232	0	2.4723382	1.7347862	0	2.1084616	0	0	0	0	1.6695073	2.2760592	0.7434407	0
O-GLYCAN PROCESSING%GO%GO:0016266	2.3505614	0.96860105	1.0895237	0.7027834	0	0.6566776	2.2983398	1.3919486	0.9792303	0	0	0.9893819	0	0	0	0.67313236	1.1402563	1.287868	0.98590535	1.1374053	0.7721039	1.1874958	1.4841523	1.6555667	1.6726236	0.7482115	0.7247343	1.2302166	1.2909993
CHROMATIN ASSEMBLY%GO%GO:0031497	2.3492024	2.0900493	0	0	2.2972782	1.6586598	0	2.192829	0	2.3550909	0	0	2.2790358	0	0	2.0716183	0	2.2701414	1.5681835	0	2.2876499	0	0	0	0	1.598468	2.3999481	0.9029542	0
PEPTIDE HORMONE PROCESSING%GO%GO:0016486	2.308936	0	1.2351851	1.301494	0	0.5181467	0.9861205	1.9281118	1.228219	0	0.92401487	1.9768946	0	0	0	0	1.727035	0.8864796	0	1.226383	0	1.5315732	2.3228264	0.69670016	1.6341151	1.0113076	0	1.44723	0
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	2.3064277	2.145874	0	0	2.590068	1.5966699	0	2.5344229	0	2.5111625	0	0	2.4003057	0	0	2.0892563	0	2.521696	1.6863363	0	2.5487578	0	0	0	0	1.7787963	2.5960858	0	0
MEIOSIS%REACTOME%REACT_111183.1	2.302594	2.0755622	0	0	2.4886045	1.6346502	0	2.2203908	0	2.0820355	0	0	2.0562897	0	0	1.9400094	0	2.231498	1.5668662	0	2.2602718	0	0	0	0	1.832571	2.6542573	0.99991345	0
NUCLEOSOME ASSEMBLY%GO%GO:0006334	2.2985375	2.0894716	0	0	2.3542168	1.6517192	0	2.3128912	0	2.5220902	0	0	2.3186197	0	0	2.043815	0	2.4194818	1.5439248	0	2.4551413	0	0	0	0	1.6715492	2.474064	0.89262086	0
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	2.2950597	2.180842	0	0	2.5811565	1.6048446	0	2.5396554	0	2.5296664	0	0	2.3974469	0	0	2.1130247	0	2.4943047	1.6909856	0	2.5708346	0	0	0	0	1.8059356	2.5819929	0	0
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	2.2940977	1.6332439	0	0.782665	0.70345813	0	0	1.7268157	1.8524417	0.87725675	1.2913998	1.8478678	1.0302242	0.8248862	0	1.2117894	1.6740484	2.0241942	1.652641	2.2918203	0	0	0	0.7456788	1.320893	1.1207443	0.95365953	1.7908568	1.470091
DNA PACKAGING%GO%GO:0006323	2.2850475	1.956092	0	0	2.1658247	1.6814908	0	1.7113544	0	2.126929	0	0	2.1880383	0	0	1.9680012	0	2.435737	1.4570887	0	2.0563622	0	0	0	0	1.6020646	2.373922	0.8266162	0
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	2.2578263	2.086153	0	0	2.2748535	1.6847607	0	1.9175894	0	2.3540113	0	0	2.1575646	0	0	2.1173146	0	2.1731062	1.513233	0	2.1444333	0	0	0	0	1.5733843	2.449281	0.8529568	0
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	2.2548025	2.1571326	0	0	2.5617054	1.6346139	0	2.2406294	0	2.121122	0	0	2.2514966	0	0	1.9368036	0	2.1588233	1.733216	0	2.3699293	0	0	0	0	1.9403709	2.621821	0.8818586	0
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	2.2230954	1.2157881	0.69787383	0	0	0.7425121	2.027047	0.74257874	0	0	0.8746983	1.1840993	0	0	0	0.95805955	1.1104975	0.9389879	1.0678645	1.0231869	1.2178776	0.6986496	0.9520885	1.9421952	1.5473312	0.8312008	0.67837834	1.1805114	1.4929829
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	2.190729	2.20081	0	0	2.2891712	1.733005	0	1.6334734	0	2.2191713	0	0	2.108396	0	0	2.068581	0	1.9159824	1.463162	0	2.1620626	0	0	0	0	1.5487185	2.5443072	0.932078	0
NUCLEOSOME ORGANIZATION%GO%GO:0034728	2.1694813	2.182826	0	0	2.378487	1.7185686	0	1.9076841	0	2.3131766	0	0	2.2696185	0	0	2.029871	0	1.9662646	1.5115851	0	2.1976845	0	0	0	0	1.5666227	2.5318494	0.9859333	0
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	2.143569	0	2.0207536	0.92172104	0	0	2.1151538	1.1498759	0	0	1.5373285	1.8806051	1.5644097	1.1877887	1.1395658	0.7727149	0	0	1.4231254	0.93669814	0	1.6223122	0	0	2.05877	0.95833766	0	1.0762883	1.9545211
XENOBIOTICS%REACTOME%REACT_13543.2	2.1399465	0.65484095	1.0493715	0.50736403	1.5944296	0	0.98423266	1.0265806	1.5534784	0.8382134	1.2853799	2.2240684	1.5935899	1.332499	0	1.4482535	0.95424676	1.7564375	0	2.9883423	0	1.6149895	1.5189259	0.8078256	0	0	1.1661235	0.7887394	1.047018
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	2.1223814	0	0	1.8429513	0	0.8770625	0.9241532	1.4692637	0	0.9309083	0.81322616	0	0	0	0	0	1.8471388	1.0593588	0.7022283	0.9908373	0.607071	0	0.8892307	1.2528526	0.70115864	0.67977846	0.9510551	1.3522674	0
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	2.1200364	2.1926234	0	0	2.3325706	1.7364172	0	1.7589562	0	2.2073405	0	0	2.2031608	0	0	2.0273	0	1.9046605	1.5596085	0	2.1351824	0	0	0	0	1.5390128	2.4898527	1.027646	0
HORMONE SECRETION%GO%GO:0046879	2.0973024	0	1.3464121	0	0.5593616	0	1.3632817	0.90670806	0	0	0.92764324	1.5546169	0.98796916	0	1.3521998	0.9660249	0	0.82394534	0.9266898	0	0.8346962	0	1.086058	1.4399551	1.709607	0.7023534	1.0657567	1.340609	0
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	2.0939562	0	1.5974137	1.5895993	0	0	1.8353117	0	2.1123478	1.2907425	0	1.0151628	0	0	0	0	3.1247363	2.4691885	0	3.7606237	0	2.46332	1.2477057	0	0.92054987	0.9621333	0	1.0853627	0
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	2.081053	1.719222	0	0	2.1200538	0	0	2.3812141	0	1.9635875	0	0	1.6951357	0	0	1.7050254	0	2.1180415	0.9481417	0	2.0729907	0	0	0	0	1.6041993	1.933523	1.2961287	0
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	2.0712013	0	0	1.7870138	0	0.9918526	1.0402851	1.4563407	0	1.0013205	0.7784173	0	0	0	0	0	1.9371865	0.9770579	1.007934	1.0715387	0.6728248	0	0.88713735	1.413248	0	0.69064504	1.0579522	1.1881772	0
DNA CONFORMATION CHANGE%GO%GO:0071103	2.0696783	2.0443354	0	0	2.232894	1.6316272	0	1.3528501	0	1.8598204	0	0	1.9586691	0	0	1.7953618	0	2.0326908	1.3548689	0	1.9981029	0	0	0	0	1.5969903	2.2739067	0.96681947	0
PROTEIN O-LINKED GLYCOSYLATION%GO%GO:0006493	2.0677495	0.74336874	1.14054	1.103811	0	0.70012265	2.0055554	1.3091813	0	0.78473413	0	0.69010013	0	0.79410064	0	0.47912014	0.94290876	1.1534853	1.1977409	1.0062399	0.8039447	1.085384	1.1598053	1.2110041	1.447225	0.8944298	0.7761136	1.21113	1.3000642
PURINE RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GO%GO:0034035	2.0574822	0.8318947	0	1.5098851	0	1.1030357	0.9134169	1.0827523	0	1.6198761	0	0	0	0	0	0.8031639	1.6882906	1.7122734	0	2.2361667	0	1.8773863	1.8436292	1.38013	0	0	0	0.60792035	1.0100093
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	2.0564375	0.8165368	0	1.5008466	0	1.1061176	0.91943896	1.092378	0	1.6454182	0	0	0	0	0	0.80463165	1.6651584	1.753036	0	2.240364	0	1.924661	1.8196487	1.3410352	0	0	0	0.6103853	0.96860164
PEPTIDE HORMONE SECRETION%GO%GO:0030072	2.0497863	0.5868402	1.1585878	0	0.7481792	0	1.437917	0	0	0	1.072243	1.738169	1.1566604	0	1.0679756	1.1321425	0	0.97517395	0.7409486	0	0.73699236	0	1.1937156	1.191167	1.7779822	0	1.2443597	1.4290223	0
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	2.0492623	1.9242234	0	0	1.4622284	1.6789451	0	2.449307	0	2.2946131	0	0	1.3589272	0	0	1.9158509	0	2.5482054	0	0	1.7784948	0	0	0	0	1.479551	0	2.133037	0
PEPTIDE SECRETION%GO%GO:0002790	2.040134	0.6017292	1.1398438	0	0.75201356	0	1.4612085	0	0	0	1.0698444	1.7693554	1.133081	0	1.0671679	1.1504174	0	0.9802327	0.7456681	0	0.7260306	0	1.19576	1.2075796	1.7717478	0	1.2654228	1.4269639	0
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	2.0217204	2.150868	0	0	2.3170302	1.6672946	0	1.5747956	0	2.0336826	0	0	1.9619266	0	0	1.9345738	0	1.9773695	1.5245783	0	2.0170076	0	0	0	0	1.6871117	2.3776357	0.8605963	0
TRANSCRIPTION%REACTOME%REACT_1788.4	2.0169444	2.1248481	0	0	2.3817716	1.7453471	0	0	0	2.0494509	0	0	1.7366475	0	0	1.8441608	0	1.7945113	1.7287506	0	2.0056217	0	0	1.0036716	0	1.4957033	2.3775148	1.0686594	0
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	2.013251	1.8952343	0	0	1.3341352	1.6501461	0	2.7839012	0	2.379236	0	0	1.3196641	0	0	1.9917363	0	2.7887146	0	0	1.7705282	0	0	0	0	1.5290368	0	2.3419423	0
RIBOSOME%KEGG%HSA03010	2.0084832	1.9572606	0	0	1.3439771	1.6537846	0	2.7588487	0	2.3888538	0	0	1.3346848	0	0	2.012905	0	2.7458606	0	0	1.8157576	0	0	0	0	1.5211227	0	2.3576992	0
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	2.0035377	1.7634382	0	0	2.3560503	1.5850945	0	2.5718904	0	2.3714705	0	0	2.2431989	0	0	2.1233459	0	2.257931	1.6405435	0	2.3490267	0	0	0	0	1.9331044	1.9637535	1.3974291	0
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	2.0020087	1.9467404	0	0	1.3276668	1.6599821	0	2.7497282	0	2.458987	0	0	1.3610057	0	0	2.0283625	0	2.8183496	0	0	1.8233624	0	0	0	0	1.5611732	0	2.3262727	0
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	2.000642	1.8851225	0	0	1.4980018	1.6982112	0	2.7152784	0	2.36409	0	0	1.3025079	0	0	2.0421255	0	2.5854306	0	0	1.8195875	0	0	0	0	1.5666481	0	2.344837	0
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	1.9970558	1.9566188	0	0	1.4687928	1.658312	0	2.6556869	0	2.3271048	0	0	1.3850948	0	0	2.0160172	0	2.6911805	0	0	1.8529085	0	0	0	0	1.5821623	0	2.288107	0
VIRAL TRANSCRIPTION%GO%GO:0019083	1.9939733	1.9643154	0	0	1.391527	1.6514868	0	2.824631	0	2.3650963	0	0	1.3313706	0	0	2.0039155	0	2.7171264	0	0	1.7961229	0	0	0	0	1.5194722	0	2.3823817	0
VITAMIN DIGESTION AND ABSORPTION%KEGG%HSA04977	1.9914577	0	1.3100193	1.5542822	0	0	0.9001224	0.8108897	1.173614	0.84269196	0	1.6418653	0	0.6243367	1.1615145	0	1.7107307	1.3176199	0.73214346	1.9114232	0	0	1.5107752	1.5310011	1.4812341	0.80556315	0	1.3016287	0
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	1.9823548	0	1.2951994	0.7485912	0	0.66180235	2.2114344	1.7375921	2.1291592	0	0.7718669	2.5893278	0	0.99186844	1.573842	1.1971481	1.9903566	0.69427717	0	0	0	2.9989963	2.0825958	0	1.7349156	0.6303698	0	1.6722698	0
SECONDARY METABOLIC PROCESS%GO%GO:0019748	1.979307	0	1.2626783	1.2367202	0	0.53316426	1.8591912	0	1.7811482	1.1938353	0	0	0	0	0	0.56238604	2.482651	1.6616923	0	2.8977122	0	2.3637724	1.3053199	0.9072575	0	0	0	0	1.0026482
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	1.9635476	1.9171311	0	0	1.3951712	1.660458	0	2.7818584	0	2.393131	0	0	1.344562	0	0	2.0072272	0	2.7459512	0	0	1.8212775	0	0	0	0	1.5674297	0	2.330439	0
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	1.9584825	0	2.1123228	1.0987407	0	0.9553702	2.2185879	1.3879433	1.7236147	0.9263671	0	0	0	0	0	0.5755966	2.2414582	1.6623964	0	2.7823548	0	2.8860896	0	0	0	0.6824764	0	0	0
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	1.9558442	0	1.8754697	0.9593251	0	0	2.4965796	0	2.5547225	0	0	0.81528395	0	0	0	0	2.950579	2.243033	0	3.4457989	0	3.0212882	0	0	0.75894165	0	0	0	0
MRNA SPLICING%REACTOME%REACT_1735.3	1.9545605	2.090265	0	0	2.4644325	2.080586	0	0	0	2.1304324	0	0	1.9047484	0	0	1.9442123	0	1.7149229	1.7195992	0	1.9760792	0	0	1.2884777	0	1.3804885	2.6051292	1.3712587	0
TRANSLATIONAL TERMINATION%GO%GO:0006415	1.9488871	1.9267366	0	0	1.3926327	1.6577072	0	2.7537017	0	2.4476202	0	0	1.3639767	0	0	2.032483	0	2.7154844	0	0	1.8375866	0	0	0	0	1.5399659	0	2.3758192	0
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	1.9450964	1.8896668	0	0	1.6149752	1.7272986	0	2.5872948	0	2.2894483	0	0	1.4434061	0	0	2.0494719	0	2.61843	0	0	1.7956976	0	0	0	0	1.5308939	0	2.334351	0
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	1.942685	1.0111332	1.3651409	1.0631645	0	0	1.6093675	1.8263522	1.5044632	0.5629398	1.83369	1.9190879	0.8723042	0.91087884	2.101899	1.2227236	1.4038241	0.7964123	1.2806978	1.2111917	1.3044395	1.0561032	1.8170677	2.1220539	1.528819	1.0065387	1.3613445	0.71143395	2.3412592
TRANSLATIONAL INITIATION%GO%GO:0006413	1.9332721	1.9045137	0	0	1.6902148	1.7408757	0	2.4608617	0	2.2473447	0	0	1.5176274	0	0	2.0822809	0	2.541802	0	0	1.7929484	0	0	0	0	1.5566418	0	2.2287705	0
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	1.9303927	1.889061	0	0	1.6039814	1.7486469	0	2.560256	0	2.2797954	0	0	1.4559951	0	0	2.0503776	0	2.5841281	0	0	1.7824868	0	0	0	0	1.5235145	0	2.3088694	0
GLUCURONIDATION%REACTOME%REACT_6784.3	1.9274745	0	2.0126586	0	0	0	2.6099331	1.231609	2.5616496	0	0	0	0	0	0	0	2.5500443	1.9899141	0	3.0412283	0	3.1310816	0	0	0	0	0	0	0
PRE-MRNA SPLICING%REACTOME%REACT_467.3	1.9221158	2.0856864	0	0	2.4694118	2.0755413	0	0	0	2.1429803	0	0	1.8981057	0	0	1.9581751	0	1.7166566	1.7355212	0	1.981087	0	0	1.2771785	0	1.3873407	2.6204035	1.351772	0
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	1.9184393	1.8751733	0	0	1.5831585	1.7168596	0	2.6546135	0	2.3252997	0	0	1.3872051	0	0	2.0210361	0	2.630025	0	0	1.8124373	0	0	0	0	1.5558444	0	2.331834	0
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	1.9153771	1.8720105	0	0	1.5591093	1.7167888	0	2.6925495	0	2.3410063	0	0	1.3694957	0	0	2.0426383	0	2.6002135	0	0	1.8279544	0	0	0	0	1.5337718	0	2.321943	0
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	1.9130545	1.8795482	0	0	1.5786616	1.7169342	0	2.7121322	0	2.323528	0	0	1.3712103	0	0	2.0642745	0	2.660984	0	0	1.8198233	0	0	0	0	1.5571489	0	2.3441508	0
FAT DIGESTION AND ABSORPTION%KEGG%HSA04975	1.9125139	0	1.1767548	1.5753026	0	0	1.3779744	0	0.8755584	0	0.7813275	1.7458422	0	0.7730989	1.3789425	0	1.2688484	1.4211209	0	1.5559388	0	1.5333931	1.488394	0	1.1662364	1.0404204	0	1.1124028	0
ENDOCRINE PROCESS%GO%GO:0050886	1.910486	0	1.7398013	1.2913435	0	0	1.4912786	1.6469144	1.138204	0	0	2.1441941	0	0	0	0.81870264	1.7575613	0	0	1.1435289	0	1.5988969	2.2800899	1.0892183	1.6294198	1.0584214	0	1.189843	0
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	1.9090172	1.9935071	0	0	1.411511	1.6476836	0	2.3022897	0	2.1310694	0	0	1.4917575	0	0	2.0131352	0	2.2377846	0	0	1.7818826	0	0	0	0	1.5436321	0	1.9904547	0
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	1.9072243	1.8935711	0	0	1.5758834	1.6475445	0	2.486172	0	2.2691836	0	0	1.4941849	0	0	1.9642859	0	2.470949	0	0	1.8415859	0	0	0	0	1.5769101	0	2.1187737	0
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	1.8989555	1.9189644	0	0	1.3495433	1.614652	0	2.5770278	0	2.235642	0	0	1.4384575	0	0	1.9613047	0	2.5614235	0	0	1.7480857	0	0	0	0	1.5404289	0	2.2472155	0
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	1.8986841	1.8627874	0	0	1.5529759	1.656788	0	2.5022278	0	2.2378514	0	0	1.47637	0	0	1.9548197	0	2.4654956	0	0	1.8476163	0	0	0	0	1.5666394	0	2.1025774	0
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%REACT_12582.2	0.7346632	2.2618687	0	1.623328	1.5267673	0	1.9312336	0	0	0	0	1.3571268	0	0	0	0	1.4999461	0	0	0	1.4679717	1.0209526	2.4671323	2.265459	1.2462703	0	2.033911	0.90221953	0
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION%KEGG%HSA04672	1.2931576	2.2517166	0	1.9140846	1.3667667	0	2.2479868	0	0.76699466	0	0	2.1039236	0	0	1.1836909	0	2.1495929	0	0	0	1.2496282	1.0213717	3.0387704	2.4075906	1.4129934	0	1.8625332	1.3479897	0
AUTOIMMUNE THYROID DISEASE%KEGG%HSA05320	0	2.2222989	0	1.7808028	1.6145283	0	2.571541	0	0	0	0	1.7066516	0	0	0	0	1.7684613	0	0	0	1.4763578	1.3812351	3.2488604	2.2713103	1.691186	0.8332906	2.0988917	0.7677232	1.1028434
ALLOGRAFT REJECTION%KEGG%HSA05330	0	2.212311	0	1.7278683	1.6719673	0	2.5184143	0	0	0	0	1.639051	0	0	0	0	1.6856191	0	0	0	1.522419	1.480556	3.1619046	2.3185046	1.6160749	0.7422101	2.1112895	0.72260547	1.1300017
BASAL TRANSCRIPTION FACTORS%KEGG%HSA03022	0.63384795	2.2010543	0	0.7296839	2.0218637	1.4577506	0	0	0	1.3512131	0	0	0.82693243	0	0	0.90891945	0	1.0133352	1.353842	0	1.9731569	0	0	1.377612	0	1.1718583	1.918153	0.7686467	0
PRIMARY IMMUNODEFICIENCY%KEGG%HSA05340	0	2.186299	1.1142911	0.58534604	2.149134	0	1.2125381	0	0	0	0	0.99526566	0	0	0	0	0	0	0	0	1.9784209	0.8260876	1.4136757	1.8908798	0	0	2.2717845	1.0233157	2.067213
CHROMATIN ORGANIZATION%GO%GO:0006325	1.4053077	2.1812563	0	0	2.3526974	1.5891424	0	0	0	1.7237725	0	0	1.8584312	0	0	1.6232697	0	1.2060001	1.5613307	0	1.9071705	0	0	1.2463986	0	1.3113074	2.3212733	0.8975191	0
MRNA PROCESSING%REACTOME%REACT_1675.2	1.7100352	2.1674087	0	0	2.533289	1.969995	0	0	0	2.067824	0	0	1.7389618	0	0	1.8054272	0	1.4910527	1.6428713	0	2.0506058	0	0	1.6479586	0	1.4403657	2.5969887	1.447514	0
CHROMATIN REMODELING%GO%GO:0006338	1.3348945	2.1440554	0	0	2.1618888	1.688162	0	0	0	1.7947265	0	0	1.8067765	0	0	1.6392101	0	1.2469983	1.5031052	0	1.9508222	0	0	0.8595265	0	1.4403853	2.114367	1.153064	0
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	1.7814795	2.1389744	0	0	2.5224454	2.0142415	0	0	0	2.097467	0	0	1.7900087	0	0	1.8581148	0	1.6423769	1.6867424	0	2.0287168	0	0	1.5358571	0	1.4379491	2.6447783	1.468027	0
GRAFT-VERSUS-HOST DISEASE%KEGG%HSA05332	0	2.1360617	0	1.7197858	1.630394	0	2.556847	0	0	0	0	1.4821509	0	0	0	0	1.6622655	0	0	0	1.6238465	1.3811017	3.174608	2.3092368	1.59281	0.6503533	2.3180423	0.7172309	0
PD-1 SIGNALING%REACTOME%REACT_19324.1	0.72696126	2.1283827	0	1.6530335	1.5293674	0	2.035645	0	0	0	0	1.279888	0	0	0.82330203	0	1.460746	0	0	0	1.3924255	0	2.3283494	2.2415614	1.2206122	0	1.8922274	1.0487993	0
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME%REACT_12596.2	1.1222166	2.128183	0	1.7040747	1.4565653	0	1.952421	0	0	0	0	1.397814	0	0	0.77813524	0	1.9655567	0	0	0	1.4046367	0.86770207	2.5402362	2.2561233	1.234738	0	1.973557	0.9621881	0
TRANSCRIPTION OF THE HIV GENOME%REACTOME%REACT_6233.3	1.1568897	2.1252706	0	0	2.1420622	1.7356186	0	0	0	1.7011735	0	0	0.8455265	0	0	1.2502936	0	1.177487	1.4014992	0	1.8268963	0	0	1.743498	0	1.1675788	2.0664592	0.84137523	0
CHROMATIN MODIFICATION%GO%GO:0016568	1.1810554	2.1222403	0	0	2.2876408	1.5506209	0	0	0	1.6221851	0	0	1.7048117	0	0	1.5169772	0	0.88855606	1.5474273	0	1.8586103	0	0	1.3181171	0	1.2422603	2.1388578	0.93612266	0
B CELL RECEPTOR SIGNALING PATHWAY%GO%GO:0050853	0	2.1212957	0.76014245	0	1.4099162	0	1.1940287	0	0	0	0	1.1644992	0	0	0	0	0	0	0	0	1.6926323	0.8879896	1.2693555	1.8888952	1.4375176	0	2.0482004	0.9433213	2.0710928
