	Fetal_Gut	Fetal_Ovary	Fetal_Placenta	Fetal_Testis	Fetal_Brain	Fetal_Heart	Fetal_Liver
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	2.2950597	0	2.5396554	2.5296664	2.3974469	2.1130247	2.4943047
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	2.2940977	0	0	0	0	0	2.0241942
DNA PACKAGING%GO%GO:0006323	2.2850475	1.6814908	0	2.126929	2.1880383	1.9680012	2.435737
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	2.2578263	1.6847607	1.9175894	2.3540113	2.1575646	2.1173146	2.1731062
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	2.2548025	1.6346139	2.2406294	2.121122	2.2514966	1.9368036	2.1588233
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	2.2230954	0	0	0	0	0	0
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	2.190729	1.733005	0	2.2191713	2.108396	2.068581	1.9159824
NUCLEOSOME ORGANIZATION%GO%GO:0034728	2.1694813	1.7185686	1.9076841	2.3131766	2.2696185	2.029871	1.9662646
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	2.143569	0	0	0	0	0	0
XENOBIOTICS%REACTOME%REACT_13543.2	2.1399465	0	0	0	0	0	1.7564375
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	2.1223814	0	0	0	0	0	0
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	2.1200364	1.7364172	0	2.2073405	2.2031608	2.0273	1.9046605
HORMONE SECRETION%GO%GO:0046879	2.0973024	0	0	0	0	0	0
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	2.0939562	0	0	0	0	0	2.4691885
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	2.081053	0	2.3812141	1.9635875	0	0	2.1180415
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	2.0712013	0	0	0	0	0	0
DNA CONFORMATION CHANGE%GO%GO:0071103	2.0696783	1.6316272	0	1.8598204	1.9586691	1.7953618	2.0326908
PROTEIN O-LINKED GLYCOSYLATION%GO%GO:0006493	2.0677495	0	0	0	0	0	0
PURINE RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GO%GO:0034035	2.0574822	0	0	0	0	0	0
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	2.0564375	0	0	0	0	0	1.753036
PEPTIDE HORMONE SECRETION%GO%GO:0030072	2.0497863	0	0	0	0	0	0
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	2.0492623	1.6789451	2.449307	2.2946131	0	1.9158509	2.5482054
PEPTIDE SECRETION%GO%GO:0002790	2.040134	0	0	0	0	0	0
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	2.0217204	1.6672946	0	2.0336826	1.9619266	1.9345738	1.9773695
TRANSCRIPTION%REACTOME%REACT_1788.4	2.0169444	1.7453471	0	2.0494509	0	1.8441608	1.7945113
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	2.013251	1.6501461	2.7839012	2.379236	0	1.9917363	2.7887146
RIBOSOME%KEGG%HSA03010	2.0084832	1.6537846	2.7588487	2.3888538	0	2.012905	2.7458606
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	2.0035377	0	2.5718904	2.3714705	2.2431989	2.1233459	2.257931
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	2.0020087	1.6599821	2.7497282	2.458987	0	2.0283625	2.8183496
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	2.000642	1.6982112	2.7152784	2.36409	0	2.0421255	2.5854306
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	1.9970558	1.658312	2.6556869	2.3271048	0	2.0160172	2.6911805
VIRAL TRANSCRIPTION%GO%GO:0019083	1.9939733	1.6514868	2.824631	2.3650963	0	2.0039155	2.7171264
VITAMIN DIGESTION AND ABSORPTION%KEGG%HSA04977	1.9914577	0	0	0	0	0	0
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	1.9823548	0	0	0	0	0	0
SECONDARY METABOLIC PROCESS%GO%GO:0019748	1.979307	0	0	0	0	0	0
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	1.9635476	1.660458	2.7818584	2.393131	0	2.0072272	2.7459512
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	1.9584825	0	0	0	0	0	0
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	1.9558442	0	0	0	0	0	2.243033
MRNA SPLICING%REACTOME%REACT_1735.3	1.9545605	2.080586	0	2.1304324	1.9047484	1.9442123	0
TRANSLATIONAL TERMINATION%GO%GO:0006415	1.9488871	1.6577072	2.7537017	2.4476202	0	2.032483	2.7154844
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	1.9450964	1.7272986	2.5872948	2.2894483	0	2.0494719	2.61843
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	1.942685	0	0	0	0	0	0
TRANSLATIONAL INITIATION%GO%GO:0006413	1.9332721	1.7408757	2.4608617	2.2473447	0	2.0822809	2.541802
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	1.9303927	1.7486469	2.560256	2.2797954	0	2.0503776	2.5841281
GLUCURONIDATION%REACTOME%REACT_6784.3	1.9274745	0	0	0	0	0	1.9899141
PRE-MRNA SPLICING%REACTOME%REACT_467.3	1.9221158	2.0755413	0	2.1429803	1.8981057	1.9581751	0
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	1.9184393	1.7168596	2.6546135	2.3252997	0	2.0210361	2.630025
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	1.9153771	1.7167888	2.6925495	2.3410063	0	2.0426383	2.6002135
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	1.9130545	1.7169342	2.7121322	2.323528	0	2.0642745	2.660984
FAT DIGESTION AND ABSORPTION%KEGG%HSA04975	1.9125139	0	0	0	0	0	0
ENDOCRINE PROCESS%GO%GO:0050886	1.910486	0	0	0	0	0	0
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	1.9090172	1.6476836	2.3022897	2.1310694	0	2.0131352	2.2377846
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	1.9072243	1.6475445	2.486172	2.2691836	0	1.9642859	2.470949
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	1.8989555	1.614652	2.5770278	2.235642	0	1.9613047	2.5614235
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	1.8986841	1.656788	2.5022278	2.2378514	0	1.9548197	2.4654956
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	0	2.1201143	0	1.7270883	0	1.7384183	0
U12 DEPENDENT SPLICING%REACTOME%REACT_1753.3	0	2.116558	0	2.0006835	0	0	0
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	0	2.1047156	0	1.7532388	0	1.7246463	0
DNA REPLICATION%KEGG%HSA03030	0	2.0822146	0	1.9033612	0	1.8540103	2.0562847
DNA STRAND ELONGATION%REACTOME%REACT_932.6	0	2.070492	0	1.8331494	0	1.9185678	2.110031
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	0	2.0410779	0	2.1132817	2.0782375	1.9897758	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	0	2.03618	0	2.1225214	2.0929353	1.9940269	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	0	2.0264459	0	2.1424077	2.0766644	1.987685	0
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	0	2.0230968	0	1.7929667	0	1.8968146	2.0581222
DNA STRAND ELONGATION%GO%GO:0022616	0	2.022559	0	1.8027126	0	1.9043342	2.0283673
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	0	2.0142415	0	2.097467	1.7900087	1.8581148	0
BIOCARTA_EIF_PATHWAY%MSIGDB_C2%BIOCARTA_EIF_PATHWAY	0	2.005926	0	0	0	0	0
RNA SPLICING%GO%GO:0008380	0	2.000299	0	2.132089	2.036921	1.9955211	0
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	0	1.9966451	0	1.7324326	0	1.7969165	1.8006647
SPLICEOSOMAL SNRNP ASSEMBLY%GO%GO:0000387	0	1.9924237	0	1.7255173	0	0	0
SPLICEOSOME%KEGG%HSA03040	0	1.9918668	0	2.0353296	2.1063435	1.9431423	0
BASE EXCISION REPAIR%KEGG%HSA03410	0	1.989811	0	0	0	0	0
MEIOSIS I%GO%GO:0007127	0	1.9843844	0	0	0	0	0
SNRNP ASSEMBLY%REACTOME%REACT_11066.1	0	1.9830987	0	1.7035148	0	0	0
NON-CODING RNA METABOLISM%REACTOME%REACT_11052.2	0	1.980734	0	1.7037182	0	0	0
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	0	1.9772555	0	1.6943656	0	1.8411	1.8608615
MRNA PROCESSING%REACTOME%REACT_1675.2	0	1.969995	0	2.067824	0	1.8054272	0
MISMATCH REPAIR%KEGG%HSA03430	0	1.9688303	0	1.8226734	0	1.9044727	2.001042
TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME%REACT_338.2	0	1.9687989	0	0	0	0	0
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3	0	1.9661438	0	1.6872867	0	1.7358521	1.7344505
EXTENSION OF TELOMERES%REACTOME%REACT_8030.5	0	1.9637767	0	1.754829	0	1.7295338	0
TRANSCRIPTION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006383	0	1.9606944	0	0	0	0	0
G2 M CHECKPOINTS%REACTOME%REACT_828.2	0	1.9592298	0	1.8232188	0	0	0
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER%REACTOME%REACT_1036.2	0	1.9535769	0	0	0	0	0
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3	0	1.945511	0	1.7148498	0	1.7560828	0
MRNA PROCESSING%GO%GO:0006397	0	1.9414005	0	2.0500653	1.9656795	1.9100004	0
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%REACT_6769.1	0	1.940052	0	1.8199472	0	0	0
INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%REACT_6916.4	0	1.939699	0	0	0	0	0
REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3	0	1.9381039	0	1.7922261	0	1.7352933	1.7372943
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT%REACTOME%REACT_1835.3	0	1.937199	0	0	0	0	0
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%REACT_6261.3	0	1.9348615	0	1.8005334	0	0	0
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 1 PROMOTER%REACTOME%REACT_347.3	0	1.9348347	0	0	0	0	0
RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%REACT_281.3	0	1.927956	0	0	0	0	0
TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM%REACTOME%REACT_1281.4	0	1.9252931	0	1.8430681	0	0	0
TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME%REACT_405.3	0	1.9185404	0	0	0	0	0
VPR-MEDIATED NUCLEAR IMPORT OF PICS%REACTOME%REACT_7991.2	0	1.9158856	0	0	0	0	0
TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS%REACTOME%REACT_7961.4	0	1.9155531	0	0	0	0	1.762048
HOMOLOGOUS RECOMBINATION%KEGG%HSA03440	0	1.9121394	0	0	0	0	0
TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA%REACTOME%REACT_424.3	0	1.9113955	0	0	0	0	0
REPAIR SYNTHESIS FOR GAP-FILLING BY DNA POLYMERASE IN TC-NER%REACTOME%REACT_1993.3	0	1.9103631	0	1.7671477	0	1.7363212	0
REV-MEDIATED NUCLEAR EXPORT OF HIV-1 RNA%REACTOME%REACT_6190.4	0	1.908256	0	0	0	0	0
NUCLEAR IMPORT OF REV PROTEIN%REACTOME%REACT_9395.2	0	1.8975307	0	0	0	0	0
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRON-CONTAINING TRANSCRIPT%REACTOME%REACT_1597.3	0	1.8962288	0	1.8158131	0	0	0
RESOLUTION OF ABASIC SITES (AP SITES)%REACTOME%REACT_1893.3	0	1.8922467	0	1.7235405	0	0	0
NUCLEOTIDE-EXCISION REPAIR, DNA GAP FILLING%GO%GO:0006297	0	1.8897527	0	1.7717915	0	0	0
TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GO%GO:0032201	0	1.8840393	0	1.7039449	0	0	1.7355651
ELONGATION ARREST AND RECOVERY%REACTOME%REACT_1892.2	0	1.8824164	0	1.6986203	0	0	0
BIOCARTA_MCM_PATHWAY%MSIGDB_C2%BIOCARTA_MCM_PATHWAY	0	1.8820657	0	0	0	0	1.8069228
EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME%REACT_6296.2	0	1.8793492	0	0	0	0	0
HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6259.4	0	1.8767153	0	1.7046338	0	0	0
NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY%REACTOME%REACT_6179.3	0	1.8729969	0	0	0	0	0
PAUSING AND RECOVERY OF HIV-1 ELONGATION%REACTOME%REACT_6244.5	0	1.8706094	0	1.6975032	0	0	0
RNA POLYMERASE III ABORTIVE AND RETRACTIVE INITIATION%REACTOME%REACT_22339.1	0	1.8695434	0	0	0	0	0
RNA TRANSPORT%KEGG%HSA03013	0	1.866766	0	1.856157	0	0	0
TAT-MEDIATED HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6344.4	0	1.8632739	0	1.7519516	0	0	0
TRANSPORT OF RIBONUCLEOPROTEINS INTO THE HOST NUCLEUS%REACTOME%REACT_6248.3	0	1.863261	0	0	0	0	0
BASE EXCISION REPAIR%REACTOME%REACT_1104.2	0	1.8595148	0	1.7303941	0	0	0
PAUSING AND RECOVERY OF TAT-MEDIATED HIV-1 ELONGATION%REACTOME%REACT_6143.5	0	1.8574736	0	1.7185025	0	0	0
RNA PROCESSING%GO%GO:0006396	0	1.8549697	0	2.0448349	0	1.8637999	0
E2F MEDIATED REGULATION OF DNA REPLICATION%REACTOME%REACT_471.3	0	1.8506854	0	0	0	0	0
RNA POLYMERASE III TRANSCRIPTION TERMINATION%REACTOME%REACT_63.2	0	1.8480792	0	0	0	0	0
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GO%GO:0022618	0	1.8477002	0	1.875954	1.8566495	1.75407	0
REGULATION OF ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000381	0	1.847096	0	0	1.7784331	0	0
RNA POLYMERASE III TRANSCRIPTION%REACTOME%REACT_1371.3	0	1.8458955	0	0	0	0	0
LAGGING STRAND SYNTHESIS%REACTOME%REACT_312.5	0	1.8434438	0	1.7010732	0	0	1.7650363
REGULATION OF TRANSLATIONAL INITIATION%GO%GO:0006446	0	1.8426722	0	0	0	0	0
TERMINATION OF RNA POLYMERASE III TRANSCRIPTION%GO%GO:0006386	0	1.8400223	0	0	0	0	0
S PHASE%REACTOME%REACT_899.6	0	1.8385313	0	2.05073	0	0	2.163023
DNA REPLICATION%REACTOME%REACT_383.6	0	1.8382838	0	2.1001189	0	1.8180404	2.2644038
TELOMERE MAINTENANCE VIA RECOMBINATION%GO%GO:0000722	0	1.8339081	0	0	0	0	0
RNA POLYMERASE III CHAIN ELONGATION%REACTOME%REACT_756.2	0	1.8333212	0	0	0	0	0
SPLICEOSOMAL COMPLEX ASSEMBLY%GO%GO:0000245	0	1.8315866	0	1.8723619	1.8636506	1.7572557	0
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071826	0	1.8315641	0	1.8175975	1.781374	1.7778336	0
TRANSCRIPTION ELONGATION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006385	0	1.8311704	0	0	0	0	0
RNA POLYMERASE II TRANSCRIPTION ELONGATION%REACTOME%REACT_833.3	0	1.8260418	0	1.726921	0	0	0
MITOTIC RECOMBINATION%GO%GO:0006312	0	1.8255546	0	1.7122004	0	1.7424896	0
REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%REACT_6804.2	0	1.8250451	0	0	0	0	0
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME%REACT_16936.2	0	1.8250338	0	1.7242117	2.2029152	2.0435815	2.0317147
POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3	0	1.8242195	0	1.9432201	0	1.8338901	0
CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3	0	1.8229835	0	1.9422721	0	1.8037921	0
CELL CYCLE CHECKPOINTS%REACTOME%REACT_1538.1	0	1.8221587	0	2.042051	0	0	2.0284975
FORMATION OF HIV-1 ELONGATION COMPLEX CONTAINING HIV-1 TAT%REACTOME%REACT_6346.4	0	1.8194381	0	1.756752	0	0	0
S PHASE OF MITOTIC CELL CYCLE%GO%GO:0000084	0	1.8178471	0	2.0398767	0	1.728922	2.1272929
MITOTIC SISTER CHROMATID SEGREGATION%GO%GO:0000070	0	1.8175547	0	0	0	0	0
CHROMATIN DISASSEMBLY%GO%GO:0031498	0	1.8151406	0	0	0	0	0
G1 S TRANSITION%REACTOME%REACT_1783.2	0	1.8143669	0	2.0331848	0	0	2.0992985
MEIOSIS%GO%GO:0007126	0	1.8135896	0	0	0	0	0
FORMATION OF RNA POL II ELONGATION COMPLEX%REACTOME%REACT_1845.4	0	1.8133821	0	1.7129898	0	0	0
RNA LOCALIZATION%GO%GO:0006403	0	1.813268	0	1.7555182	1.8134655	0	0
MITOTIC PROMETAPHASE%GO%GO:0000236	0	1.8116741	0	0	0	0	0
REMOVAL OF DNA PATCH CONTAINING ABASIC RESIDUE%REACTOME%REACT_2192.3	0	1.8116275	0	0	0	0	0
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2	0	1.8109411	0	1.9379038	0	1.8277248	0
NUCLEOSOME DISASSEMBLY%GO%GO:0006337	0	1.8108499	0	0	0	0	0
SYNTHESIS OF DNA%REACTOME%REACT_2014.3	0	1.8107005	0	2.106521	0	1.8568499	2.314229
ESTABLISHMENT OF RNA LOCALIZATION%GO%GO:0051236	0	1.8104457	0	1.8002609	1.8170962	0	0
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%REACT_17029.2	0	1.8092967	0	1.7431393	2.2106178	2.078998	2.0842245
RNA EXPORT FROM NUCLEUS%GO%GO:0006405	0	1.8085307	0	1.742365	1.8518649	0	0
TAT-MEDIATED ELONGATION OF THE HIV-1 TRANSCRIPT%REACTOME%REACT_6162.3	0	1.8083395	0	1.7662487	0	0	0
MRNA METABOLIC PROCESS%GO%GO:0016071	0	1.8076131	0	2.1360407	1.8793155	1.9022229	1.7962661
RNA POLYMERASE II TRANSCRIPTION%REACTOME%REACT_1366.2	0	1.8063861	0	1.9363725	0	0	0
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 3 PROMOTER%REACTOME%REACT_571.3	0	1.803048	0	0	0	0	0
CHROMOSOME SEGREGATION%GO%GO:0007059	0	1.8030443	0	0	0	0	0
TERMINATION OF RNA POLYMERASE II TRANSCRIPTION%GO%GO:0006369	0	1.8023839	0	1.9279275	0	1.8583918	0
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%REACT_1128.2	0	1.8021735	0	0	0	0	0
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GO%GO:0022613	0	1.8021092	0	2.055285	0	1.7380474	0
FORMATION OF HIV-1 ELONGATION COMPLEX IN THE ABSENCE OF HIV-1 TAT%REACTOME%REACT_22201.2	0	1.8017375	0	1.7547473	0	0	0
FORMATION OF THE EARLY ELONGATION COMPLEX%REACTOME%REACT_846.4	0	1.8002687	0	1.8030131	0	0	0
RNA TRANSPORT%GO%GO:0050658	0	1.7986121	0	1.7893031	1.8075113	0	0
TRANSCRIPTION-COUPLED NUCLEOTIDE-EXCISION REPAIR%GO%GO:0006283	0	1.7974133	0	1.7717695	0	0	0
PROTEIN-DNA COMPLEX DISASSEMBLY%GO%GO:0032986	0	1.7960606	0	0	0	0	0
FORMATION OF THE HIV-1 EARLY ELONGATION COMPLEX%REACTOME%REACT_6319.4	0	1.796002	0	1.7857488	0	0	0
SISTER CHROMATID SEGREGATION%GO%GO:0000819	0	1.7953387	0	0	0	0	0
MRNA TRANSPORT%GO%GO:0051028	0	1.792904	0	1.7297529	1.7935939	0	0
NUCLEIC ACID TRANSPORT%GO%GO:0050657	0	1.7921147	0	1.7638896	1.8089917	0	0
SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS VIA GERMLINE RECOMBINATION WITHIN A SINGLE LOCUS%GO%GO:0002562	0	1.7916657	0	1.7067142	0	0	0
DNA-DEPENDENT TRANSCRIPTION, TERMINATION%GO%GO:0006353	0	1.7896287	0	1.8318417	0	0	0
NEGATIVE REGULATION OF RNA SPLICING%GO%GO:0033119	0	1.7891012	0	0	0	0	0
TRANSCRIPTION-COUPLED NER (TC-NER)%REACTOME%REACT_1628.2	0	1.7886803	0	1.851126	0	0	0
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, EXONUCLEOLYTIC%GO%GO:0000291	0	1.7871923	0	1.9057686	0	0	0
SOMATIC CELL DNA RECOMBINATION%GO%GO:0016444	0	1.7855613	0	0	0	0	0
MRNA EXPORT FROM NUCLEUS%GO%GO:0006406	0	1.7850908	0	1.7602112	0	0	0
S PHASE%GO%GO:0051320	0	1.7842392	0	2.070601	0	1.7818944	2.170028
HIV-1 TRANSCRIPTION ELONGATION%REACTOME%REACT_6274.3	0	1.774838	0	1.7794157	0	0	0
REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0048024	0	1.7713692	0	1.7457275	2.0109143	0	0
LATE PHASE OF HIV LIFE CYCLE%REACTOME%REACT_6361.5	0	1.7674803	0	1.8206277	0	0	0
POSITIVE REGULATION OF VIRAL TRANSCRIPTION%GO%GO:0050434	0	1.7662699	0	1.8221449	0	0	0
POST-ELONGATION PROCESSING OF INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_397.2	0	1.7658474	0	1.9082743	0	1.7363021	0
DNA BIOSYNTHETIC PROCESS%GO%GO:0071897	0	1.7656461	0	0	0	0	0
SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS%GO%GO:0002200	0	1.7643903	0	0	0	0	0
SISTER CHROMATID COHESION%GO%GO:0007062	0	1.7637265	0	0	0	0	0
EXONUCLEOLYTIC NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS INVOLVED IN DEADENYLATION-DEPENDENT DECAY%GO%GO:0043928	0	1.7635587	0	1.8884425	0	0	0
HIV LIFE CYCLE%REACTOME%REACT_6256.5	0	1.7624819	0	1.8264927	0	0	0
'DE NOVO' PROTEIN FOLDING%GO%GO:0006458	0	1.7613235	0	1.773468	2.1468074	1.7571956	1.8741498
REGULATION OF DNA RECOMBINATION%GO%GO:0000018	0	1.7589523	0	0	0	0	0
INTERPHASE OF MITOTIC CELL CYCLE%GO%GO:0051329	0	1.7564229	0	1.9210843	0	1.789949	1.9659654
ANAPHASE%GO%GO:0051322	0	1.7561858	0	1.7731147	0	0	0
CHOLESTEROL BIOSYNTHESIS%REACTOME%REACT_9405.3	0	1.7560363	0	2.3241255	1.8893491	0	2.3414822
G1/S TRANSITION OF MITOTIC CELL CYCLE%GO%GO:0000082	0	1.7558633	0	1.9861463	0	0	2.0965044
7-METHYLGUANOSINE MRNA CAPPING%GO%GO:0006370	0	1.755811	0	1.7130227	0	0	0
MRNA 3'-END PROCESSING%GO%GO:0031124	0	1.7556087	0	1.8358406	0	1.7689724	0
