	Fetal_Gut	Immune_Bcell	Adult_UrinaryBladder	Adult_AdrenalGland	Immune_CD4	Fetal_Ovary	Adult_Colon	Fetal_Placenta	Adult_Esophagus	Fetal_Testis	Adult_FrontalCortex	Adult_GallBladder	Fetal_Brain	Adult_Heart	Adult_SpinalCord	Fetal_Heart	Adult_Kidney	Fetal_Liver	Adult_Retina	Adult_Liver	Immune_CD8	Adult_Rectum	Adult_Lung	Immune_Monocyte	Adult_Prostate	Adult_Ovary	Immune_NK	Adult_Pancreas	Immune_Platelet
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	1.9970558	1.9566188	0	0	0	1.658312	0	2.6556869	0	2.3271048	0	0	0	0	0	2.0160172	0	2.6911805	0	0	1.8529085	0	0	0	0	0	0	2.288107	0
VIRAL TRANSCRIPTION%GO%GO:0019083	1.9939733	1.9643154	0	0	0	1.6514868	0	2.824631	0	2.3650963	0	0	0	0	0	2.0039155	0	2.7171264	0	0	1.7961229	0	0	0	0	0	0	2.3823817	0
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	1.9823548	0	0	0	0	0	2.2114344	0	2.1291592	0	0	2.5893278	0	0	0	0	1.9903566	0	0	0	0	2.9989963	2.0825958	0	0	0	0	0	0
SECONDARY METABOLIC PROCESS%GO%GO:0019748	1.979307	0	0	0	0	0	1.8591912	0	0	0	0	0	0	0	0	0	2.482651	0	0	2.8977122	0	2.3637724	0	0	0	0	0	0	0
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	1.9635476	1.9171311	0	0	0	1.660458	0	2.7818584	0	2.393131	0	0	0	0	0	2.0072272	0	2.7459512	0	0	1.8212775	0	0	0	0	0	0	2.330439	0
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	1.9584825	0	2.1123228	0	0	0	2.2185879	0	0	0	0	0	0	0	0	0	2.2414582	0	0	2.7823548	0	2.8860896	0	0	0	0	0	0	0
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	1.9558442	0	0	0	0	0	2.4965796	0	2.5547225	0	0	0	0	0	0	0	2.950579	2.243033	0	3.4457989	0	3.0212882	0	0	0	0	0	0	0
MRNA SPLICING%REACTOME%REACT_1735.3	1.9545605	2.090265	0	0	2.4644325	2.080586	0	0	0	2.1304324	0	0	1.9047484	0	0	1.9442123	0	0	0	0	1.9760792	0	0	0	0	0	2.6051292	0	0
TRANSLATIONAL TERMINATION%GO%GO:0006415	1.9488871	1.9267366	0	0	0	1.6577072	0	2.7537017	0	2.4476202	0	0	0	0	0	2.032483	0	2.7154844	0	0	1.8375866	0	0	0	0	0	0	2.3758192	0
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	1.9450964	1.8896668	0	0	0	1.7272986	0	2.5872948	0	2.2894483	0	0	0	0	0	2.0494719	0	2.61843	0	0	1.7956976	0	0	0	0	0	0	2.334351	0
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	1.942685	0	0	0	0	0	0	0	0	0	1.83369	1.9190879	0	0	2.101899	0	0	0	0	0	0	0	0	2.1220539	0	0	0	0	2.3412592
TRANSLATIONAL INITIATION%GO%GO:0006413	1.9332721	1.9045137	0	0	1.6902148	1.7408757	0	2.4608617	0	2.2473447	0	0	0	0	0	2.0822809	0	2.541802	0	0	1.7929484	0	0	0	0	0	0	2.2287705	0
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	1.9303927	1.889061	0	0	0	1.7486469	0	2.560256	0	2.2797954	0	0	0	0	0	2.0503776	0	2.5841281	0	0	1.7824868	0	0	0	0	0	0	2.3088694	0
GLUCURONIDATION%REACTOME%REACT_6784.3	1.9274745	0	2.0126586	0	0	0	2.6099331	0	2.5616496	0	0	0	0	0	0	0	2.5500443	1.9899141	0	3.0412283	0	3.1310816	0	0	0	0	0	0	0
PRE-MRNA SPLICING%REACTOME%REACT_467.3	1.9221158	2.0856864	0	0	2.4694118	2.0755413	0	0	0	2.1429803	0	0	1.8981057	0	0	1.9581751	0	0	0	0	1.981087	0	0	0	0	0	2.6204035	0	0
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	1.9184393	1.8751733	0	0	0	1.7168596	0	2.6546135	0	2.3252997	0	0	0	0	0	2.0210361	0	2.630025	0	0	1.8124373	0	0	0	0	0	0	2.331834	0
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	1.9153771	1.8720105	0	0	0	1.7167888	0	2.6925495	0	2.3410063	0	0	0	0	0	2.0426383	0	2.6002135	0	0	1.8279544	0	0	0	0	0	0	2.321943	0
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	1.9130545	1.8795482	0	0	0	1.7169342	0	2.7121322	0	2.323528	0	0	0	0	0	2.0642745	0	2.660984	0	0	1.8198233	0	0	0	0	0	0	2.3441508	0
ENDOCRINE PROCESS%GO%GO:0050886	1.910486	0	0	0	0	0	0	0	0	0	0	2.1441941	0	0	0	0	0	0	0	0	0	0	2.2800899	0	0	0	0	0	0
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	1.9090172	1.9935071	0	0	0	1.6476836	0	2.3022897	0	2.1310694	0	0	0	0	0	2.0131352	0	2.2377846	0	0	1.7818826	0	0	0	0	0	0	1.9904547	0
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	1.9072243	1.8935711	0	0	0	1.6475445	0	2.486172	0	2.2691836	0	0	0	0	0	1.9642859	0	2.470949	0	0	1.8415859	0	0	0	0	0	0	2.1187737	0
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	1.8989555	1.9189644	0	0	0	1.614652	0	2.5770278	0	2.235642	0	0	0	0	0	1.9613047	0	2.5614235	0	0	1.7480857	0	0	0	0	0	0	2.2472155	0
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	1.8986841	1.8627874	0	0	0	1.656788	0	2.5022278	0	2.2378514	0	0	0	0	0	1.9548197	0	2.4654956	0	0	1.8476163	0	0	0	0	0	0	2.1025774	0
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%REACT_12582.2	0	2.2618687	0	0	0	0	1.9312336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4671323	2.265459	0	0	2.033911	0	0
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION%KEGG%HSA04672	0	2.2517166	0	1.9140846	0	0	2.2479868	0	0	0	0	2.1039236	0	0	0	0	2.1495929	0	0	0	0	0	3.0387704	2.4075906	0	0	1.8625332	0	0
AUTOIMMUNE THYROID DISEASE%KEGG%HSA05320	0	2.2222989	0	1.7808028	0	0	2.571541	0	0	0	0	0	0	0	0	0	1.7684613	0	0	0	0	0	3.2488604	2.2713103	0	0	2.0988917	0	0
ALLOGRAFT REJECTION%KEGG%HSA05330	0	2.212311	0	0	0	0	2.5184143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1619046	2.3185046	0	0	2.1112895	0	0
BASAL TRANSCRIPTION FACTORS%KEGG%HSA03022	0	2.2010543	0	0	2.0218637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9731569	0	0	0	0	0	1.918153	0	0
PRIMARY IMMUNODEFICIENCY%KEGG%HSA05340	0	2.186299	0	0	2.149134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9784209	0	0	1.8908798	0	0	2.2717845	0	2.067213
CHROMATIN ORGANIZATION%GO%GO:0006325	0	2.1812563	0	0	2.3526974	0	0	0	0	1.7237725	0	0	1.8584312	0	0	0	0	0	0	0	1.9071705	0	0	0	0	0	2.3212733	0	0
MRNA PROCESSING%REACTOME%REACT_1675.2	0	2.1674087	0	0	2.533289	1.969995	0	0	0	2.067824	0	0	0	0	0	1.8054272	0	0	0	0	2.0506058	0	0	0	0	0	2.5969887	0	0
CHROMATIN REMODELING%GO%GO:0006338	0	2.1440554	0	0	2.1618888	1.688162	0	0	0	1.7947265	0	0	1.8067765	0	0	0	0	0	0	0	1.9508222	0	0	0	0	0	2.114367	0	0
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	0	2.1389744	0	0	2.5224454	2.0142415	0	0	0	2.097467	0	0	1.7900087	0	0	1.8581148	0	0	0	0	2.0287168	0	0	0	0	0	2.6447783	0	0
GRAFT-VERSUS-HOST DISEASE%KEGG%HSA05332	0	2.1360617	0	0	0	0	2.556847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.174608	2.3092368	0	0	2.3180423	0	0
PD-1 SIGNALING%REACTOME%REACT_19324.1	0	2.1283827	0	0	0	0	2.035645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3283494	2.2415614	0	0	1.8922274	0	0
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME%REACT_12596.2	0	2.128183	0	0	0	0	1.952421	0	0	0	0	0	0	0	0	0	1.9655567	0	0	0	0	0	2.5402362	2.2561233	0	0	1.973557	0	0
TRANSCRIPTION OF THE HIV GENOME%REACTOME%REACT_6233.3	0	2.1252706	0	0	2.1420622	1.7356186	0	0	0	1.7011735	0	0	0	0	0	0	0	0	0	0	1.8268963	0	0	0	0	0	2.0664592	0	0
CHROMATIN MODIFICATION%GO%GO:0016568	0	2.1222403	0	0	2.2876408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8586103	0	0	0	0	0	2.1388578	0	0
B CELL RECEPTOR SIGNALING PATHWAY%GO%GO:0050853	0	2.1212957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6926323	0	0	1.8888952	0	0	2.0482004	0	2.0710928
ANTIGEN ACTIVATES B CELL RECEPTOR LEADING TO GENERATION OF SECOND MESSENGERS%REACTOME%REACT_118700.2	0	2.1122706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8353212	0	0	1.9425771	0	0	2.1482775	0	2.5384638
CHROMOSOME ORGANIZATION%GO%GO:0051276	0	2.1102355	0	0	2.3293476	1.6539369	0	0	0	1.7198838	0	0	0	0	0	0	0	0	0	0	1.8612297	0	0	0	0	0	2.2939234	0	0
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	0	2.0959651	0	0	2.5561457	2.0410779	0	0	0	2.1132817	0	0	2.0782375	0	0	1.9897758	0	0	0	0	2.0241354	0	0	0	0	0	2.4745572	0	0
RNA SPLICING%GO%GO:0008380	0	2.0936139	0	0	2.5277278	2.000299	0	0	0	2.132089	0	0	2.036921	0	0	1.9955211	0	0	0	0	2.0120156	0	0	0	0	0	2.515891	0	0
HIV LIFE CYCLE%REACTOME%REACT_6256.5	0	2.092143	0	0	2.1988685	1.7624819	0	0	0	1.8264927	0	0	0	0	0	0	0	0	0	0	1.9375677	0	0	1.827549	0	0	2.197231	0	0
REGULATION OF B CELL ACTIVATION%GO%GO:0050864	0	2.0888968	0	0	1.8234879	0	0	0	0	0	0	1.886736	0	0	0	0	0	0	0	0	1.6689209	0	0	2.1186793	0	0	2.1020093	0	0
PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018394	0	2.0879452	0	0	2.250204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9988582	0	0	0	0	0	1.9577856	0	0
TELOMERE MAINTENANCE%GO%GO:0000723	0	2.0871665	0	0	2.2891123	1.654294	0	0	0	1.8323528	0	0	0	0	0	1.7738814	0	2.0331428	0	0	2.0376463	0	0	0	0	0	2.0208259	0	0
RIBOSOME BIOGENESIS IN EUKARYOTES%KEGG%HSA03008	0	2.0805826	0	0	2.191078	1.7264286	0	0	0	1.8947096	0	0	0	0	0	0	0	0	0	0	1.8151034	0	0	0	0	0	1.9085225	0	0
RNA POLYMERASE II PRE-TRANSCRIPTION EVENTS%REACTOME%REACT_22107.2	0	2.0796616	0	0	2.125093	1.7107431	0	0	0	1.7123778	0	0	0	0	0	0	0	0	0	0	1.7801163	0	0	1.788716	0	0	2.0401537	0	0
RNA POLYMERASE II TRANSCRIPTION INITIATION%REACTOME%REACT_1851.5	0	2.0791023	0	0	2.0644178	1.6180662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7483947	0	0	0	0	0	1.8982295	0	0
RNA PROCESSING%GO%GO:0006396	0	2.078078	0	0	2.4295971	1.8549697	0	0	0	2.0448349	0	0	0	0	0	1.8637999	0	0	0	0	1.9660201	0	0	0	0	0	2.2432997	0	0
TELOMERE ORGANIZATION%GO%GO:0032200	0	2.0776026	0	0	2.2996802	1.6371591	0	0	0	1.8068999	0	0	0	0	0	1.7876586	0	2.0363078	0	0	1.9994167	0	0	0	0	0	1.9922307	0	0
MRNA PROCESSING%GO%GO:0006397	0	2.0752628	0	0	2.5019553	1.9414005	0	0	0	2.0500653	0	0	1.9656795	0	0	1.9100004	0	0	0	0	2.0049589	0	0	0	0	0	2.3008044	0	0
ASTHMA%KEGG%HSA05310	0	2.0749846	0	0	0	0	2.315104	0	0	0	0	1.9250232	0	0	0	0	1.9409202	0	0	0	0	0	3.0068378	2.3091285	0	0	2.0336223	0	0
DOUBLE-STRAND BREAK REPAIR%GO%GO:0006302	0	2.0698001	0	0	2.1563902	1.6312355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8271441	0	0	0	0	0	0	0	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	0	2.0687747	0	0	2.564163	2.03618	0	0	0	2.1225214	0	0	2.0929353	0	0	1.9940269	0	0	0	0	2.0162463	0	0	0	0	0	2.4763978	0	0
POSITIVE REGULATION OF VIRAL TRANSCRIPTION%GO%GO:0050434	0	2.0665364	0	0	2.1338723	1.7662699	0	0	0	1.8221449	0	0	0	0	0	0	0	0	0	0	1.8061358	0	0	1.8712622	0	0	2.0009868	0	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	0	2.0651717	0	0	2.5930495	2.0264459	0	0	0	2.1424077	0	0	2.0766644	0	0	1.987685	0	0	0	0	2.0301545	0	0	0	0	0	2.4919515	0	0
POSITIVE REGULATION OF B CELL ACTIVATION%GO%GO:0050871	0	2.0615003	0	0	1.8159908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6320834	0	0	1.8937801	0	0	1.8881752	0	0
LATE PHASE OF HIV LIFE CYCLE%REACTOME%REACT_6361.5	0	2.0610254	0	0	2.1460369	1.7674803	0	0	0	1.8206277	0	0	0	0	0	0	0	0	0	0	1.9269474	0	0	1.859409	0	0	2.0897942	0	0
RNA POLYMERASE II TRANSCRIPTION INITIATION AND PROMOTER CLEARANCE%REACTOME%REACT_834.2	0	2.059853	0	0	2.1081128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7391943	0	0	0	0	0	1.8999456	0	0
HIV-1 TRANSCRIPTION INITIATION%REACTOME%REACT_6332.5	0	2.0583355	0	0	2.0788887	1.6093074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7462327	0	0	0	0	0	1.8824346	0	0
RNA POLYMERASE II TRANSCRIPTION PRE-INITIATION AND PROMOTER OPENING%REACTOME%REACT_1655.5	0	2.056665	0	0	2.1098945	1.6127702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7040763	0	0	0	0	0	1.8896483	0	0
RNA POLYMERASE II HIV-1 PROMOTER ESCAPE%REACTOME%REACT_6253.3	0	2.0505161	0	0	2.082976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.730734	0	0	0	0	0	1.8763895	0	0
RNA POLYMERASE II PROMOTER ESCAPE%REACTOME%REACT_2089.4	0	2.047219	0	0	2.073869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7177427	0	0	0	0	0	1.8944463	0	0
DNA REPAIR%REACTOME%REACT_216.2	0	2.0423257	0	0	2.108047	1.7519811	0	0	0	1.8970809	0	0	0	0	0	0	0	0	0	0	1.8817087	0	0	0	0	0	1.780049	0	0
INTERNAL PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018393	0	2.0370545	0	0	2.250516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.010321	0	0	0	0	0	1.9175254	0	0
HISTONE ACETYLATION%GO%GO:0016573	0	2.0262196	0	0	2.2733574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0199435	0	0	0	0	0	1.9886202	0	0
