	Fetal_Gut	Fetal_Ovary	Fetal_Placenta	Fetal_Testis	Fetal_Brain	Fetal_Heart	Fetal_Liver
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	2.190729	1.733005	0	2.2191713	2.108396	2.068581	1.9159824
NUCLEOSOME ORGANIZATION%GO%GO:0034728	2.1694813	1.7185686	1.9076841	2.3131766	2.2696185	2.029871	1.9662646
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	2.1200364	1.7364172	0	2.2073405	2.2031608	2.0273	1.9046605
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	2.081053	0	2.3812141	1.9635875	0	0	2.1180415
DNA CONFORMATION CHANGE%GO%GO:0071103	2.0696783	1.6316272	0	1.8598204	1.9586691	1.7953618	2.0326908
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	2.0492623	1.6789451	2.449307	2.2946131	0	1.9158509	2.5482054
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	2.0217204	1.6672946	0	2.0336826	1.9619266	1.9345738	1.9773695
TRANSCRIPTION%REACTOME%REACT_1788.4	2.0169444	1.7453471	0	2.0494509	0	1.8441608	1.7945113
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	2.013251	1.6501461	2.7839012	2.379236	0	1.9917363	2.7887146
RIBOSOME%KEGG%HSA03010	2.0084832	1.6537846	2.7588487	2.3888538	0	2.012905	2.7458606
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	2.0035377	0	2.5718904	2.3714705	2.2431989	2.1233459	2.257931
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	2.0020087	1.6599821	2.7497282	2.458987	0	2.0283625	2.8183496
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	2.000642	1.6982112	2.7152784	2.36409	0	2.0421255	2.5854306
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	1.9970558	1.658312	2.6556869	2.3271048	0	2.0160172	2.6911805
VIRAL TRANSCRIPTION%GO%GO:0019083	1.9939733	1.6514868	2.824631	2.3650963	0	2.0039155	2.7171264
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	1.9635476	1.660458	2.7818584	2.393131	0	2.0072272	2.7459512
MRNA SPLICING%REACTOME%REACT_1735.3	1.9545605	2.080586	0	2.1304324	1.9047484	1.9442123	0
TRANSLATIONAL TERMINATION%GO%GO:0006415	1.9488871	1.6577072	2.7537017	2.4476202	0	2.032483	2.7154844
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	1.9450964	1.7272986	2.5872948	2.2894483	0	2.0494719	2.61843
TRANSLATIONAL INITIATION%GO%GO:0006413	1.9332721	1.7408757	2.4608617	2.2473447	0	2.0822809	2.541802
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	1.9303927	1.7486469	2.560256	2.2797954	0	2.0503776	2.5841281
PRE-MRNA SPLICING%REACTOME%REACT_467.3	1.9221158	2.0755413	0	2.1429803	1.8981057	1.9581751	0
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	1.9184393	1.7168596	2.6546135	2.3252997	0	2.0210361	2.630025
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	1.9153771	1.7167888	2.6925495	2.3410063	0	2.0426383	2.6002135
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	1.9130545	1.7169342	2.7121322	2.323528	0	2.0642745	2.660984
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	1.9090172	1.6476836	2.3022897	2.1310694	0	2.0131352	2.2377846
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	1.9072243	1.6475445	2.486172	2.2691836	0	1.9642859	2.470949
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	1.8989555	1.614652	2.5770278	2.235642	0	1.9613047	2.5614235
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	1.8986841	1.656788	2.5022278	2.2378514	0	1.9548197	2.4654956
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	0	2.1201143	0	1.7270883	0	1.7384183	0
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	0	2.1047156	0	1.7532388	0	1.7246463	0
DNA REPLICATION%KEGG%HSA03030	0	2.0822146	0	1.9033612	0	1.8540103	2.0562847
DNA STRAND ELONGATION%REACTOME%REACT_932.6	0	2.070492	0	1.8331494	0	1.9185678	2.110031
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	0	2.0410779	0	2.1132817	2.0782375	1.9897758	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	0	2.03618	0	2.1225214	2.0929353	1.9940269	0
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	0	2.0264459	0	2.1424077	2.0766644	1.987685	0
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	0	2.0230968	0	1.7929667	0	1.8968146	2.0581222
DNA STRAND ELONGATION%GO%GO:0022616	0	2.022559	0	1.8027126	0	1.9043342	2.0283673
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	0	2.0142415	0	2.097467	1.7900087	1.8581148	0
RNA SPLICING%GO%GO:0008380	0	2.000299	0	2.132089	2.036921	1.9955211	0
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	0	1.9966451	0	1.7324326	0	1.7969165	1.8006647
SPLICEOSOME%KEGG%HSA03040	0	1.9918668	0	2.0353296	2.1063435	1.9431423	0
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	0	1.9772555	0	1.6943656	0	1.8411	1.8608615
MRNA PROCESSING%REACTOME%REACT_1675.2	0	1.969995	0	2.067824	0	1.8054272	0
MISMATCH REPAIR%KEGG%HSA03430	0	1.9688303	0	1.8226734	0	1.9044727	2.001042
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3	0	1.9661438	0	1.6872867	0	1.7358521	1.7344505
EXTENSION OF TELOMERES%REACTOME%REACT_8030.5	0	1.9637767	0	1.754829	0	1.7295338	0
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3	0	1.945511	0	1.7148498	0	1.7560828	0
MRNA PROCESSING%GO%GO:0006397	0	1.9414005	0	2.0500653	1.9656795	1.9100004	0
REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3	0	1.9381039	0	1.7922261	0	1.7352933	1.7372943
REPAIR SYNTHESIS FOR GAP-FILLING BY DNA POLYMERASE IN TC-NER%REACTOME%REACT_1993.3	0	1.9103631	0	1.7671477	0	1.7363212	0
TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GO%GO:0032201	0	1.8840393	0	1.7039449	0	0	1.7355651
RNA PROCESSING%GO%GO:0006396	0	1.8549697	0	2.0448349	0	1.8637999	0
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GO%GO:0022618	0	1.8477002	0	1.875954	1.8566495	1.75407	0
LAGGING STRAND SYNTHESIS%REACTOME%REACT_312.5	0	1.8434438	0	1.7010732	0	0	1.7650363
S PHASE%REACTOME%REACT_899.6	0	1.8385313	0	2.05073	0	0	2.163023
DNA REPLICATION%REACTOME%REACT_383.6	0	1.8382838	0	2.1001189	0	1.8180404	2.2644038
SPLICEOSOMAL COMPLEX ASSEMBLY%GO%GO:0000245	0	1.8315866	0	1.8723619	1.8636506	1.7572557	0
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071826	0	1.8315641	0	1.8175975	1.781374	1.7778336	0
MITOTIC RECOMBINATION%GO%GO:0006312	0	1.8255546	0	1.7122004	0	1.7424896	0
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME%REACT_16936.2	0	1.8250338	0	1.7242117	2.2029152	2.0435815	2.0317147
POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3	0	1.8242195	0	1.9432201	0	1.8338901	0
CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3	0	1.8229835	0	1.9422721	0	1.8037921	0
CELL CYCLE CHECKPOINTS%REACTOME%REACT_1538.1	0	1.8221587	0	2.042051	0	0	2.0284975
S PHASE OF MITOTIC CELL CYCLE%GO%GO:0000084	0	1.8178471	0	2.0398767	0	1.728922	2.1272929
G1 S TRANSITION%REACTOME%REACT_1783.2	0	1.8143669	0	2.0331848	0	0	2.0992985
RNA LOCALIZATION%GO%GO:0006403	0	1.813268	0	1.7555182	1.8134655	0	0
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2	0	1.8109411	0	1.9379038	0	1.8277248	0
SYNTHESIS OF DNA%REACTOME%REACT_2014.3	0	1.8107005	0	2.106521	0	1.8568499	2.314229
ESTABLISHMENT OF RNA LOCALIZATION%GO%GO:0051236	0	1.8104457	0	1.8002609	1.8170962	0	0
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%REACT_17029.2	0	1.8092967	0	1.7431393	2.2106178	2.078998	2.0842245
RNA EXPORT FROM NUCLEUS%GO%GO:0006405	0	1.8085307	0	1.742365	1.8518649	0	0
MRNA METABOLIC PROCESS%GO%GO:0016071	0	1.8076131	0	2.1360407	1.8793155	1.9022229	1.7962661
TERMINATION OF RNA POLYMERASE II TRANSCRIPTION%GO%GO:0006369	0	1.8023839	0	1.9279275	0	1.8583918	0
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GO%GO:0022613	0	1.8021092	0	2.055285	0	1.7380474	0
RNA TRANSPORT%GO%GO:0050658	0	1.7986121	0	1.7893031	1.8075113	0	0
MRNA TRANSPORT%GO%GO:0051028	0	1.792904	0	1.7297529	1.7935939	0	0
NUCLEIC ACID TRANSPORT%GO%GO:0050657	0	1.7921147	0	1.7638896	1.8089917	0	0
S PHASE%GO%GO:0051320	0	1.7842392	0	2.070601	0	1.7818944	2.170028
REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0048024	0	1.7713692	0	1.7457275	2.0109143	0	0
POST-ELONGATION PROCESSING OF INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_397.2	0	1.7658474	0	1.9082743	0	1.7363021	0
'DE NOVO' PROTEIN FOLDING%GO%GO:0006458	0	1.7613235	0	1.773468	2.1468074	1.7571956	1.8741498
INTERPHASE OF MITOTIC CELL CYCLE%GO%GO:0051329	0	1.7564229	0	1.9210843	0	1.789949	1.9659654
CHOLESTEROL BIOSYNTHESIS%REACTOME%REACT_9405.3	0	1.7560363	0	2.3241255	1.8893491	0	2.3414822
G1/S TRANSITION OF MITOTIC CELL CYCLE%GO%GO:0000082	0	1.7558633	0	1.9861463	0	0	2.0965044
MRNA 3'-END PROCESSING%GO%GO:0031124	0	1.7556087	0	1.8358406	0	1.7689724	0
DNA REPLICATION PRE-INITIATION%REACTOME%REACT_734.3	0	1.7553813	0	2.1800983	0	1.7668427	2.209565
DNA REPLICATION%GO%GO:0006260	0	1.7531791	0	1.8271027	0	0	1.7441522
RIBOSOME BIOGENESIS%GO%GO:0042254	0	1.7488118	0	2.0656998	0	0	1.777289
RNA 3'-END PROCESSING%GO%GO:0031123	0	1.7480203	0	1.8128362	0	1.7710689	0
M G1 TRANSITION%REACTOME%REACT_1725.3	0	1.7475123	0	2.2012932	0	1.7562025	2.2247677
RRNA PROCESSING%GO%GO:0006364	0	1.7454249	0	2.0773966	0	0	1.9005917
'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GO%GO:0051084	0	1.7454193	0	1.7579677	2.3331537	1.8312944	1.9626237
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%REACT_1258.3	0	1.7452668	2.2968266	2.2133436	0	1.992183	2.5558732
MRNA 3'-END PROCESSING%REACTOME%REACT_1849.3	0	1.7432075	0	1.9062762	0	1.7703544	0
MITOTIC G1-G1 S PHASES%REACTOME%REACT_21267.3	0	1.7421149	0	1.8873413	0	0	1.9986839
INFLUENZA LIFE CYCLE%REACTOME%REACT_6145.4	0	1.7399861	2.4316187	2.1808834	0	1.785228	2.081767
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%REACT_931.2	0	1.7315671	2.2017314	2.2027516	0	1.9849902	2.4966795
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%REACT_1979.2	0	1.7301983	2.285221	2.1567085	0	1.9748056	2.5203843
INFLUENZA INFECTION%REACTOME%REACT_6167.4	0	1.7263548	2.3826423	2.153357	0	1.766577	2.0420053
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%REACT_1079.2	0	1.723501	2.2401597	2.2260191	0	1.9264338	2.442025
HISTONE EXCHANGE%GO%GO:0043486	0	1.7221087	0	2.1201322	1.9523802	1.8048145	1.8168718
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%REACT_16956.3	0	1.720711	0	1.7225118	2.1171584	2.0778792	2.1150854
ORC1 REMOVAL FROM CHROMATIN%REACTOME%REACT_1156.2	0	1.7080135	0	2.1814296	0	1.7569469	2.2177873
REGULATION OF LIGASE ACTIVITY%GO%GO:0051340	0	1.7068994	0	2.0338993	0	0	1.8690348
CENTROMERE COMPLEX ASSEMBLY%GO%GO:0034508	0	1.7064348	0	2.0382442	1.8976955	1.8241214	0
METABOLISM OF RNA%REACTOME%REACT_21257.2	0	1.704828	2.0153804	2.120657	0	1.8045294	1.9298208
REMOVAL OF LICENSING FACTORS FROM ORIGINS%REACTOME%REACT_207.3	0	1.7014457	0	2.1800494	0	1.7304115	2.1631317
REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY%GO%GO:0051438	0	1.6998495	0	2.0313067	0	0	1.8382856
INTERPHASE%GO%GO:0051325	0	1.6979488	0	1.9592727	0	1.8179584	2.0102992
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS%GO%GO:0000956	0	1.6970068	2.082899	2.0822656	0	1.807106	2.03317
PROTEASOME%KEGG%HSA03050	0	1.6942836	0	2.1986318	0	0	2.2601156
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%REACT_2148.2	0	1.6926903	0	2.2187147	0	1.7578418	2.2190032
DNA REPLICATION-INDEPENDENT NUCLEOSOME ORGANIZATION%GO%GO:0034724	0	1.6918623	0	2.0750148	1.9383597	1.7949623	1.7502782
MRNA CATABOLIC PROCESS%GO%GO:0006402	0	1.6888397	1.9349562	2.0614414	0	1.7922962	1.9275584
CHROMATIN REMODELING%GO%GO:0006338	0	1.688162	0	1.7947265	1.8067765	0	0
CENP-A CONTAINING NUCLEOSOME ASSEMBLY AT CENTROMERE%GO%GO:0034080	0	1.6875173	0	2.0892637	1.9285293	1.7919412	0
CHOLESTEROL BIOSYNTHETIC PROCESS%GO%GO:0006695	0	1.6866132	0	2.3520708	0	0	2.3575158
REGULATION OF DNA REPLICATION%REACTOME%REACT_829.4	0	1.6851314	0	2.1876783	0	0	2.1721547
DNA REPLICATION-INDEPENDENT NUCLEOSOME ASSEMBLY%GO%GO:0006336	0	1.6842312	0	2.0943506	1.9399208	1.787196	1.7544438
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_2243.4	0	1.6830459	0	2.2147563	0	1.7451835	2.1808991
VESICLE TARGETING, TO, FROM OR WITHIN GOLGI%GO%GO:0048199	0	1.6819248	2.2641513	0	0	0	1.962421
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%REACT_6837.2	0	1.6816272	0	2.0307422	0	0	1.967635
STEROID BIOSYNTHESIS%KEGG%HSA00100	0	1.6806344	0	2.2259476	0	0	2.2561183
RRNA METABOLIC PROCESS%GO%GO:0016072	0	1.6789311	0	2.0292852	0	0	1.8555038
ATP-DEPENDENT CHROMATIN REMODELING%GO%GO:0043044	0	1.6777908	0	1.9618335	2.0145712	1.7817506	0
CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION%REACTOME%REACT_1574.2	0	1.6776166	0	2.0660405	0	0	2.10171
RNA CATABOLIC PROCESS%GO%GO:0006401	0	1.6768522	0	2.0097752	0	0	1.939991
POSITIVE REGULATION OF LIGASE ACTIVITY%GO%GO:0051351	0	1.6745543	0	2.0344617	0	0	1.9399854
REGULATION OF MITOTIC CELL CYCLE%REACTOME%REACT_21279.2	0	1.6710085	0	2.01166	0	0	1.997132
CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME%REACT_9029.2	0	1.6708866	0	2.0969384	0	0	2.0682034
TRANSLATIONAL ELONGATION%GO%GO:0006414	0	1.6697508	2.6396184	2.290384	0	2.0061898	2.7107244
REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GO%GO:0051439	0	1.6682011	0	1.9971246	0	0	1.9432554
OLFACTORY SIGNALING PATHWAY%REACTOME%REACT_15488.3	0	1.6670709	2.1852229	0	0	0	1.9138501
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%REACT_6828.1	0	1.6626159	0	2.0194159	0	0	2.0166311
ANAPHASE-PROMOTING COMPLEX-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GO%GO:0031145	0	1.6616204	0	2.0184872	0	0	2.0164745
MITOTIC DNA INTEGRITY CHECKPOINT%GO%GO:0044774	0	1.6611559	0	2.0774083	0	0	1.8936769
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%REACT_1477.2	0	1.6605228	2.8074582	2.404263	0	2.017919	2.8407137
REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME%REACT_13565.2	0	1.659739	0	2.2372935	0	0	2.1495051
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%REACT_6954.2	0	1.6577085	0	2.0874052	0	0	2.030069
POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY%GO%GO:0051443	0	1.6557192	0	2.0582135	0	0	1.8770823
VIRAL INFECTIOUS CYCLE%GO%GO:0019058	0	1.6555173	2.3768847	2.2265294	0	1.9348646	2.331143
TELOMERE MAINTENANCE%GO%GO:0000723	0	1.654294	0	1.8323528	0	1.7738814	2.0331428
CHROMATIN REMODELING AT CENTROMERE%GO%GO:0031055	0	1.6531434	0	2.0555608	2.0245678	1.7953545	0
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%REACT_6781.3	0	1.6526659	0	2.0805154	0	0	2.0285113
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GO%GO:0000184	0	1.6526225	2.490595	2.1774898	0	1.9112401	2.3913689
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION	0	1.648939	0	1.7189198	0	0	1.7474562
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY%GO%GO:0051444	0	1.6487343	0	1.9896122	0	0	1.9012709
MITOTIC CELL CYCLE CHECKPOINT%GO%GO:0007093	0	1.6485333	0	1.7784148	0	0	1.739946
G1 S DNA DAMAGE CHECKPOINTS%REACTOME%REACT_2254.1	0	1.6473856	0	2.274725	0	0	2.1216276
TRANSLATION%REACTOME%REACT_1014.4	0	1.6470655	2.634175	2.1824205	0	1.8943608	2.643279
NEGATIVE REGULATION OF LIGASE ACTIVITY%GO%GO:0051352	0	1.6460539	0	1.9804007	0	0	1.9198905
METABOLISM OF MRNA%REACTOME%REACT_20605.3	0	1.6460111	2.1038105	2.1531756	0	1.8849639	2.08153
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%REACT_6850.1	0	1.6440113	0	2.0878372	0	0	1.9956213
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME%REACT_9003.1	0	1.64224	0	2.267268	0	0	2.1136613
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	0	1.64052	0	2.350326	0	0	2.4399624
VIRAL GENOME EXPRESSION%GO%GO:0019080	0	1.640453	2.7174788	2.3551526	0	1.9624157	2.5777824
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GO%GO:0051436	0	1.6402526	0	2.0318973	0	0	1.9878519
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%REACT_85.1	0	1.6399468	0	2.2419932	0	0	2.1259317
CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX%REACTOME%REACT_1949.4	0	1.6399124	0	2.2868829	0	0	2.1082551
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME%REACT_1625.3	0	1.6390278	0	2.252922	0	0	2.0975466
MITOTIC DNA DAMAGE CHECKPOINT%GO%GO:0044773	0	1.6384616	0	2.1127634	0	0	1.9545085
TELOMERE ORGANIZATION%GO%GO:0032200	0	1.6371591	0	1.8068999	0	1.7876586	2.0363078
CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME%REACT_111056.1	0	1.6367229	0	2.2105675	0	0	2.1112003
POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GO%GO:0051437	0	1.6362319	0	2.0151079	0	0	1.9226899
G1 DNA DAMAGE CHECKPOINT%GO%GO:0044783	0	1.6322199	0	2.1203787	0	0	1.9651854
STEROL BIOSYNTHETIC PROCESS%GO%GO:0016126	0	1.6312844	0	2.2916641	0	0	2.220585
APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME%REACT_6761.2	0	1.6305795	0	2.09886	0	0	1.9943316
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%REACT_9453.2	0	1.6303595	0	2.3035412	0	0	2.1183395
REGULATION OF MRNA PROCESSING%GO%GO:0050684	0	1.6289247	0	0	2.0435019	1.7858211	0
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%REACT_1208.1	0	1.628002	0	2.262591	0	0	2.1496952
SIGNAL TRANSDUCTION INVOLVED IN DNA INTEGRITY CHECKPOINT%GO%GO:0072401	0	1.6276911	0	2.1101654	0	0	2.0178168
VIRAL REPRODUCTION%GO%GO:0016032	0	1.6268364	0	1.9263576	0	0	1.743381
MULTI-ORGANISM CELLULAR PROCESS%GO%GO:0044764	0	1.6258352	0	1.9270504	0	0	1.7342322
SIGNAL TRANSDUCTION INVOLVED IN DNA DAMAGE CHECKPOINT%GO%GO:0072422	0	1.6254401	0	2.094341	0	0	2.0534148
STABILIZATION OF P53%REACTOME%REACT_309.2	0	1.623792	0	2.2640173	0	0	2.1513546
AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME%REACT_6785.1	0	1.6235806	0	2.0242946	0	0	1.9420863
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME%REACT_938.4	0	1.6229539	0	2.3389542	0	0	2.1268291
AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1%REACTOME%REACT_20549.1	0	1.6204984	0	2.266493	0	0	2.1558344
DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST%GO%GO:0006977	0	1.6200631	0	2.0984657	0	1.7339777	2.0175786
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%REACT_1614.4	0	1.619463	0	2.2643192	0	0	2.120758
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC CELL CYCLE CHECKPOINT%GO%GO:0072413	0	1.6185182	0	2.1038244	0	1.736852	2.0235493
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME%REACT_2160.2	0	1.6182016	0	2.2439983	0	0	2.1224158
REGULATION OF CELLULAR AMINE METABOLIC PROCESS%GO%GO:0033238	0	1.6168469	0	2.072606	0	0	2.1946223
