Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687		47	1.6303818	5.7954016	0.01	0.01	0.432333333333333	4165	tags=55%, list=25%, signal=74%
DNA CONFORMATION CHANGE%GO%GO:0071103	DNA CONFORMATION CHANGE%GO%GO:0071103		128	5.2649752	19.8970866	0.01	0.01	0.2274	6875	tags=58%, list=27%, signal=79%
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427		15	2.65312594	7.9744985	0.01	0.01	0.34975	2991	tags=73%, list=18%, signal=89%
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2		99	5.11192529	18.771939	0.01	0.01	0.181222222222222	7676	tags=79%, list=30%, signal=111%
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2		116	5.46417954	20.459109	0.01	0.01	0.145	6812	tags=61%, list=27%, signal=84%
TRANSCRIPTION%REACTOME%REACT_1788.4	TRANSCRIPTION%REACTOME%REACT_1788.4		203	4.75818822	18.3401707	0.01	0.01	0.207888888888889	7245	tags=65%, list=31%, signal=92%
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1		83	5.41881964	19.61469	0.01	0.01	0.202	7634	tags=78%, list=30%, signal=111%
RIBOSOME%KEGG%HSA03010	RIBOSOME%KEGG%HSA03010		87	5.41177871	19.6994533	0.01	0.01	0.163444444444444	7285	tags=77%, list=30%, signal=109%
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653		16	8.67643487	23.9367475	0.01	0.01	0.123909090909091	4905	tags=94%, list=22%, signal=120%
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2		83	5.47812251	19.8137936	0.01	0.01	0.157777777777778	7285	tags=78%, list=30%, signal=111%
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1		93	5.32416186	19.4553247	0.01	0.01	0.161111111111111	7285	tags=77%, list=30%, signal=109%
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1		88	5.35869401	19.4429915	0.01	0.01	0.149222222222222	7285	tags=78%, list=30%, signal=111%
VIRAL TRANSCRIPTION%GO%GO:0019083	VIRAL TRANSCRIPTION%GO%GO:0019083		83	5.44758297	19.6990493	0.01	0.01	0.177111111111111	7676	tags=77%, list=30%, signal=109%
PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974	PROTEIN DIGESTION AND ABSORPTION%KEGG%HSA04974		77	3.64808181	15.9842249	0.01	0.01	0.128	3358	tags=45%, list=16%, signal=54%
SECONDARY METABOLIC PROCESS%GO%GO:0019748	SECONDARY METABOLIC PROCESS%GO%GO:0019748		21	3.52252357	11.5826338	0.01	0.01	0.2286	2876	tags=43%, list=11%, signal=48%
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3		83	5.44051193	19.621021	0.01	0.01	0.182111111111111	7285	tags=77%, list=30%, signal=109%
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514	OTHER TYPES OF O-GLYCAN BIOSYNTHESIS%KEGG%HSA00514		43	3.64232917	14.1992958	0.01	0.01	0.0818333333333333	2224	tags=37%, list=12%, signal=42%
ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053	ASCORBATE AND ALDARATE METABOLISM%KEGG%HSA00053		27	5.35851194	18.6678454	0.01	0.01	0.0517142857142857	2715	tags=48%, list=11%, signal=54%
MRNA SPLICING%REACTOME%REACT_1735.3	MRNA SPLICING%REACTOME%REACT_1735.3		105	5.19851421	19.1504455	0.01	0.01	0.102111111111111	6768	tags=75%, list=30%, signal=107%
TRANSLATIONAL TERMINATION%GO%GO:0006415	TRANSLATIONAL TERMINATION%GO%GO:0006415		84	5.42448008	19.696026	0.01	0.01	0.180333333333333	7285	tags=77%, list=30%, signal=111%
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5		111	5.17701037	19.2367554	0.01	0.01	0.174444444444444	7285	tags=75%, list=30%, signal=106%
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3	CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%REACT_14828.3		149	2.76411548	12.260675	0.01	0.01	0.3175	3180	tags=10%, list=4%, signal=10%
TRANSLATIONAL INITIATION%GO%GO:0006413	TRANSLATIONAL INITIATION%GO%GO:0006413		119	5.52716252	20.6228845	0.01	0.01	0.2521	7676	tags=74%, list=30%, signal=104%
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1		111	5.17701037	19.1340139	0.01	0.01	0.178333333333333	7285	tags=75%, list=30%, signal=106%
GLUCURONIDATION%REACTOME%REACT_6784.3	GLUCURONIDATION%REACTOME%REACT_6784.3		18	6.32103774	19.8239841	0.01	0.01	0.1175	2380	tags=50%, list=9%, signal=55%
PRE-MRNA SPLICING%REACTOME%REACT_467.3	PRE-MRNA SPLICING%REACTOME%REACT_467.3		105	5.19851421	19.1535069	0.01	0.01	0.122444444444444	6768	tags=75%, list=30%, signal=107%
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2		104	5.22129799	19.2857178	0.01	0.01	0.194	7676	tags=75%, list=30%, signal=106%
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2		103	5.26156447	19.3304814	0.01	0.01	0.187333333333333	7676	tags=75%, list=30%, signal=106%
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2		103	5.26156447	19.4344297	0.01	0.01	0.190666666666667	7676	tags=75%, list=30%, signal=106%
ENDOCRINE PROCESS%GO%GO:0050886	ENDOCRINE PROCESS%GO%GO:0050886		25	1.90416445	6.33477	0.01	0.01	0.232	2307	tags=40%, list=6%, signal=42%
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984		115	4.85290913	18.0068241	0.01	0.01	0.226	7285	tags=72%, list=31%, signal=103%
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2		103	5.04517915	18.59929	0.01	0.01	0.219222222222222	7634	tags=74%, list=30%, signal=104%
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241		95	5.1378722	18.7632711	0.01	0.01	0.274555555555556	7285	tags=73%, list=30%, signal=103%
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1		103	5.04517915	18.5288477	0.01	0.01	0.232222222222222	7634	tags=74%, list=30%, signal=104%
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%REACT_12582.2	PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%REACT_12582.2	Details ...	19	3.6505573	10.9596046	0.01	0.01	0.1342	4960	tags=95%, list=21%, signal=119%
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION%KEGG%HSA04672	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION%KEGG%HSA04672	Details ...	39	5.1031693	17.9761987	0.01	0.01	0.134875	4434	tags=51%, list=15%, signal=60%
AUTOIMMUNE THYROID DISEASE%KEGG%HSA05320	AUTOIMMUNE THYROID DISEASE%KEGG%HSA05320	Details ...	41	4.52578717	15.9621664	0.01	0.01	0.244428571428571	4434	tags=49%, list=15%, signal=57%
ALLOGRAFT REJECTION%KEGG%HSA05330	ALLOGRAFT REJECTION%KEGG%HSA05330	Details ...	35	3.60209036	12.322424	0.01	0.01	0.006	4434	tags=57%, list=15%, signal=67%
BASAL TRANSCRIPTION FACTORS%KEGG%HSA03022	BASAL TRANSCRIPTION FACTORS%KEGG%HSA03022	Details ...	45	2.42906236	8.1142279	0.01	0.01	0.129	5248	tags=80%, list=27%, signal=109%
PRIMARY IMMUNODEFICIENCY%KEGG%HSA05340	PRIMARY IMMUNODEFICIENCY%KEGG%HSA05340	Details ...	30	3.9104166	12.5437312	0.01	0.01	0.123333333333333	4986	tags=77%, list=24%, signal=101%
CHROMATIN ORGANIZATION%GO%GO:0006325	CHROMATIN ORGANIZATION%GO%GO:0006325	Details ...	338	3.08795486	12.3446012	0.01	0.01	0.285	6082	tags=72%, list=35%, signal=108%
MRNA PROCESSING%REACTOME%REACT_1675.2	MRNA PROCESSING%REACTOME%REACT_1675.2	Details ...	150	4.11054838	15.1915384	0.01	0.01	0.0827142857142857	6768	tags=92%, list=39%, signal=148%
CHROMATIN REMODELING%GO%GO:0006338	CHROMATIN REMODELING%GO%GO:0006338		91	3.78840117	13.6607984	0.01	0.01	0.334285714285714	5564	tags=74%, list=33%, signal=109%
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3		133	4.60785915	17.0947469	0.01	0.01	0.15675	6768	tags=93%, list=39%, signal=150%
GRAFT-VERSUS-HOST DISEASE%KEGG%HSA05332	GRAFT-VERSUS-HOST DISEASE%KEGG%HSA05332		36	3.60279105	12.4947958	0.01	0.01	8e-04	3541	tags=58%, list=21%, signal=74%
PD-1 SIGNALING%REACTOME%REACT_19324.1	PD-1 SIGNALING%REACTOME%REACT_19324.1		19	3.57768923	10.6261659	0.01	0.01	0.1602	4960	tags=89%, list=21%, signal=113%
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME%REACT_12596.2	TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME%REACT_12596.2		17	4.42988264	12.8160772	0.01	0.01	0.194	4960	tags=94%, list=21%, signal=119%
TRANSCRIPTION OF THE HIV GENOME%REACTOME%REACT_6233.3	TRANSCRIPTION OF THE HIV GENOME%REACTOME%REACT_6233.3		60	3.40734185	11.5974804	0.01	0.01	0.2955	5942	tags=83%, list=27%, signal=114%
CHROMATIN MODIFICATION%GO%GO:0016568	CHROMATIN MODIFICATION%GO%GO:0016568		275	2.12847534	8.4073492	0.01	0.01	0.043	6082	tags=72%, list=35%, signal=109%
B CELL RECEPTOR SIGNALING PATHWAY%GO%GO:0050853	B CELL RECEPTOR SIGNALING PATHWAY%GO%GO:0050853		19	3.35581624	9.8221164	0.01	0.01	0.3408	5769	tags=84%, list=16%, signal=100%
ANTIGEN ACTIVATES B CELL RECEPTOR LEADING TO GENERATION OF SECOND MESSENGERS%REACTOME%REACT_118700.2	ANTIGEN ACTIVATES B CELL RECEPTOR LEADING TO GENERATION OF SECOND MESSENGERS%REACTOME%REACT_118700.2		30	3.2558793	10.5769102	0.01	0.01	0.106	5628	tags=93%, list=30%, signal=132%
CHROMOSOME ORGANIZATION%GO%GO:0051276	CHROMOSOME ORGANIZATION%GO%GO:0051276		459	3.09279071	11.9685569	0.01	0.01	0.331666666666667	6693	tags=69%, list=35%, signal=103%
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398		188	4.58389365	17.3731763	0.01	0.01	0.011125	6788	tags=80%, list=34%, signal=120%
RNA SPLICING%GO%GO:0008380	RNA SPLICING%GO%GO:0008380		221	4.52699261	17.3140784	0.01	0.01	0.01575	6788	tags=80%, list=34%, signal=120%
HIV LIFE CYCLE%REACTOME%REACT_6256.5	HIV LIFE CYCLE%REACTOME%REACT_6256.5		113	3.77887239	13.8423338	0.01	0.01	0.241285714285714	6842	tags=77%, list=27%, signal=105%
REGULATION OF B CELL ACTIVATION%GO%GO:0050864	REGULATION OF B CELL ACTIVATION%GO%GO:0050864		37	3.50144443	11.6887302	0.01	0.01	0.4145	5769	tags=51%, list=16%, signal=61%
PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018394	PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018394		74	2.31656949	8.294793	0.01	0.01	0.07525	6081	tags=82%, list=36%, signal=128%
TELOMERE MAINTENANCE%GO%GO:0000723	TELOMERE MAINTENANCE%GO%GO:0000723		64	4.553643	15.728422	0.01	0.01	0.27825	6525	tags=78%, list=30%, signal=111%
RIBOSOME BIOGENESIS IN EUKARYOTES%KEGG%HSA03008	RIBOSOME BIOGENESIS IN EUKARYOTES%KEGG%HSA03008		76	3.34276465	11.6164247	0.01	0.01	0.253666666666667	6008	tags=68%, list=22%, signal=87%
RNA POLYMERASE II PRE-TRANSCRIPTION EVENTS%REACTOME%REACT_22107.2	RNA POLYMERASE II PRE-TRANSCRIPTION EVENTS%REACTOME%REACT_22107.2		58	3.88370399	13.2368615	0.01	0.01	0.443714285714286	5942	tags=83%, list=27%, signal=113%
RNA POLYMERASE II TRANSCRIPTION INITIATION%REACTOME%REACT_1851.5	RNA POLYMERASE II TRANSCRIPTION INITIATION%REACTOME%REACT_1851.5		39	2.91104523	9.4082105	0.01	0.01	0.4438	6767	tags=85%, list=27%, signal=116%
RNA PROCESSING%GO%GO:0006396	RNA PROCESSING%GO%GO:0006396		406	3.77055497	14.4805994	0.01	0.01	0.056	6788	tags=79%, list=36%, signal=120%
TELOMERE ORGANIZATION%GO%GO:0032200	TELOMERE ORGANIZATION%GO%GO:0032200		65	4.52750305	15.6369556	0.01	0.01	0.30225	6525	tags=78%, list=30%, signal=111%
MRNA PROCESSING%GO%GO:0006397	MRNA PROCESSING%GO%GO:0006397		251	4.36212276	16.7501271	0.01	0.01	0.050875	6788	tags=78%, list=34%, signal=117%
ASTHMA%KEGG%HSA05310	ASTHMA%KEGG%HSA05310		24	4.87229206	15.6056206	0.01	0.01	0.192	4960	tags=75%, list=26%, signal=101%
DOUBLE-STRAND BREAK REPAIR%GO%GO:0006302	DOUBLE-STRAND BREAK REPAIR%GO%GO:0006302		82	2.23323491	7.6845699	0.01	0.01	0.30125	6758	tags=57%, list=22%, signal=73%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377		188	4.58389365	17.3712454	0.01	0.01	0.010625	6788	tags=80%, list=34%, signal=120%
POSITIVE REGULATION OF VIRAL TRANSCRIPTION%GO%GO:0050434	POSITIVE REGULATION OF VIRAL TRANSCRIPTION%GO%GO:0050434		54	3.96733825	13.4672083	0.01	0.01	0.281	6213	tags=81%, list=27%, signal=111%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375		194	4.58541381	17.4135302	0.01	0.01	0.012	6788	tags=80%, list=34%, signal=120%
POSITIVE REGULATION OF B CELL ACTIVATION%GO%GO:0050871	POSITIVE REGULATION OF B CELL ACTIVATION%GO%GO:0050871		23	3.09688844	9.2915298	0.01	0.01	0.5746	6414	tags=61%, list=16%, signal=72%
LATE PHASE OF HIV LIFE CYCLE%REACTOME%REACT_6361.5	LATE PHASE OF HIV LIFE CYCLE%REACTOME%REACT_6361.5		101	3.76282915	13.6713209	0.01	0.01	0.230428571428571	6842	tags=76%, list=27%, signal=104%
RNA POLYMERASE II TRANSCRIPTION INITIATION AND PROMOTER CLEARANCE%REACTOME%REACT_834.2	RNA POLYMERASE II TRANSCRIPTION INITIATION AND PROMOTER CLEARANCE%REACTOME%REACT_834.2		39	2.37154113	7.8071057	0.01	0.01	0.31375	6751	tags=85%, list=27%, signal=116%
HIV-1 TRANSCRIPTION INITIATION%REACTOME%REACT_6332.5	HIV-1 TRANSCRIPTION INITIATION%REACTOME%REACT_6332.5		39	2.91104523	9.3751989	0.01	0.01	0.4678	6767	tags=85%, list=27%, signal=116%
RNA POLYMERASE II TRANSCRIPTION PRE-INITIATION AND PROMOTER OPENING%REACTOME%REACT_1655.5	RNA POLYMERASE II TRANSCRIPTION PRE-INITIATION AND PROMOTER OPENING%REACTOME%REACT_1655.5		39	2.91104523	9.3730543	0.01	0.01	0.4978	6767	tags=85%, list=27%, signal=116%
RNA POLYMERASE II HIV-1 PROMOTER ESCAPE%REACTOME%REACT_6253.3	RNA POLYMERASE II HIV-1 PROMOTER ESCAPE%REACTOME%REACT_6253.3		39	2.37154113	7.7406156	0.01	0.01	0.36125	6751	tags=85%, list=27%, signal=116%
RNA POLYMERASE II PROMOTER ESCAPE%REACTOME%REACT_2089.4	RNA POLYMERASE II PROMOTER ESCAPE%REACTOME%REACT_2089.4		39	2.37154113	7.733277	0.01	0.01	0.35125	6751	tags=85%, list=27%, signal=116%
DNA REPAIR%REACTOME%REACT_216.2	DNA REPAIR%REACTOME%REACT_216.2		100	3.2057268	11.4611924	0.01	0.01	0.277	6767	tags=64%, list=28%, signal=89%
INTERNAL PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018393	INTERNAL PEPTIDYL-LYSINE ACETYLATION%GO%GO:0018393		72	2.32537877	8.2154169	0.01	0.01	0.12275	6081	tags=78%, list=33%, signal=115%
HISTONE ACETYLATION%GO%GO:0016573	HISTONE ACETYLATION%GO%GO:0016573		71	2.33368231	8.3081407	0.01	0.01	0.05625	6081	tags=77%, list=33%, signal=114%
COVALENT CHROMATIN MODIFICATION%GO%GO:0016569	COVALENT CHROMATIN MODIFICATION%GO%GO:0016569		193	2.08671842	8.0643359	0.01	0.01	0.1425	6082	tags=70%, list=35%, signal=107%
NUCLEOTIDE-EXCISION REPAIR%GO%GO:0006289	NUCLEOTIDE-EXCISION REPAIR%GO%GO:0006289		71	2.76994647	9.4416469	0.01	0.01	0.2716	6751	tags=72%, list=29%, signal=100%
HISTONE MODIFICATION%GO%GO:0016570	HISTONE MODIFICATION%GO%GO:0016570		192	2.0914294	8.1100269	0.01	0.01	0.13225	6082	tags=71%, list=35%, signal=108%
DNA-DEPENDENT TRANSCRIPTION, ELONGATION%GO%GO:0006354	DNA-DEPENDENT TRANSCRIPTION, ELONGATION%GO%GO:0006354		82	3.23009248	11.3993857	0.01	0.01	0.357333333333333	5925	tags=73%, list=27%, signal=100%
DNA MODIFICATION%GO%GO:0006304	DNA MODIFICATION%GO%GO:0006304		53	2.36987005	7.9373593	0.01	0.01	0.1935	4787	tags=51%, list=23%, signal=66%
RNA CAPPING%GO%GO:0036260	RNA CAPPING%GO%GO:0036260		33	3.55742501	11.0606522	0.01	0.01	0.507166666666667	6751	tags=85%, list=27%, signal=115%
