Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1		83	3.63351184	13.6069852	0.01	0.01	0.183333333333333	7634	tags=78%, list=30%, signal=111%
RIBOSOME%KEGG%HSA03010	RIBOSOME%KEGG%HSA03010		87	3.61053495	13.5687359	0.01	0.01	0.183	6794	tags=77%, list=30%, signal=109%
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653		16	4.81672643	13.5713744	0.01	0.01	0.0315	3621	tags=94%, list=22%, signal=120%
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2		83	3.67742011	13.7174181	0.01	0.01	0.179	6794	tags=78%, list=30%, signal=111%
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1		93	3.54903822	13.4057777	0.01	0.01	0.153833333333333	6794	tags=77%, list=30%, signal=109%
NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1	NONSENSE MEDIATED DECAY INDEPENDENT OF THE EXON JUNCTION COMPLEX%REACTOME%REACT_75768.1		88	3.57451403	13.3453572	0.01	0.01	0.183833333333333	6794	tags=78%, list=30%, signal=111%
VIRAL TRANSCRIPTION%GO%GO:0019083	VIRAL TRANSCRIPTION%GO%GO:0019083		83	3.63537785	13.5562293	0.01	0.01	0.190166666666667	6794	tags=77%, list=30%, signal=109%
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%REACT_1986.3		83	3.63085751	13.5521734	0.01	0.01	0.2015	6794	tags=77%, list=30%, signal=109%
MRNA SPLICING%REACTOME%REACT_1735.3	MRNA SPLICING%REACTOME%REACT_1735.3		105	2.74364601	10.0145396	0.01	0.01	0.1786	6768	tags=75%, list=30%, signal=107%
TRANSLATIONAL TERMINATION%GO%GO:0006415	TRANSLATIONAL TERMINATION%GO%GO:0006415		84	3.62301088	13.5558836	0.01	0.01	0.214	6794	tags=77%, list=30%, signal=111%
EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%REACT_2159.5		111	3.44238504	13.21704	0.01	0.01	0.158166666666667	6794	tags=75%, list=30%, signal=106%
TRANSLATIONAL INITIATION%GO%GO:0006413	TRANSLATIONAL INITIATION%GO%GO:0006413		119	3.37083762	13.0064371	0.01	0.01	0.155333333333333	6794	tags=74%, list=30%, signal=104%
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%REACT_2099.1		111	3.44238504	13.1535967	0.01	0.01	0.153333333333333	6794	tags=75%, list=30%, signal=106%
PRE-MRNA SPLICING%REACTOME%REACT_467.3	PRE-MRNA SPLICING%REACTOME%REACT_467.3		105	2.74364601	9.9969182	0.01	0.01	0.2158	6768	tags=75%, list=30%, signal=107%
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%REACT_2085.2		104	3.47907763	13.2662732	0.01	0.01	0.193333333333333	6794	tags=75%, list=30%, signal=106%
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%REACT_79.2		103	3.50794885	13.3085735	0.01	0.01	0.194833333333333	6794	tags=75%, list=30%, signal=106%
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2	3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%REACT_1762.2		103	3.50794885	13.3909074	0.01	0.01	0.196166666666667	6794	tags=75%, list=30%, signal=106%
MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984	MACROMOLECULAR COMPLEX DISASSEMBLY%GO%GO:0032984		115	3.20206273	12.2409797	0.01	0.01	0.257	6794	tags=72%, list=31%, signal=103%
NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2	NONSENSE-MEDIATED DECAY%REACTOME%REACT_75886.2		103	3.35405375	12.7453593	0.01	0.01	0.260666666666667	7634	tags=74%, list=30%, signal=104%
PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241	PROTEIN COMPLEX DISASSEMBLY%GO%GO:0043241		95	3.40834855	12.8490055	0.01	0.01	0.279	6794	tags=73%, list=30%, signal=103%
NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1	NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX%REACTOME%REACT_75822.1		103	3.35405375	12.7158666	0.01	0.01	0.264	7634	tags=74%, list=30%, signal=104%
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	Details ...	22	1.97454614	5.5856209	0.01	0.01	0.609333333333333	6011	tags=82%, list=11%, signal=92%
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	Details ...	22	1.97454614	5.5826007	0.01	0.01	0.594	6011	tags=82%, list=11%, signal=92%
DNA REPLICATION%KEGG%HSA03030	DNA REPLICATION%KEGG%HSA03030	Details ...	36	2.50154981	7.8958708	0.01	0.01	0.1195	5516	tags=86%, list=24%, signal=113%
DNA STRAND ELONGATION%REACTOME%REACT_932.6	DNA STRAND ELONGATION%REACTOME%REACT_932.6	Details ...	30	2.59357443	7.9322402	0.01	0.01	0.1355	5516	tags=90%, list=24%, signal=118%
MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0000398	Details ...	188	2.23525528	8.2223729	0.01	0.01	0.01875	6788	tags=84%, list=26%, signal=112%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GO%GO:0000377	Details ...	188	2.23525528	8.2456636	0.01	0.01	0.0165	6788	tags=84%, list=26%, signal=112%
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GO%GO:0000375	Details ...	194	2.22707372	8.233203	0.01	0.01	0.02	6788	tags=83%, list=26%, signal=111%
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GO%GO:0006271	Details ...	33	2.50432879	7.7710003	0.01	0.01	0.209	5516	tags=85%, list=24%, signal=111%
DNA STRAND ELONGATION%GO%GO:0022616	DNA STRAND ELONGATION%GO%GO:0022616	Details ...	35	2.48920125	7.7579731	0.01	0.01	0.1945	5516	tags=80%, list=24%, signal=105%
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_125.3	Details ...	133	2.15170284	7.759832	0.01	0.01	0.311	6768	tags=83%, list=24%, signal=108%
RNA SPLICING%GO%GO:0008380	RNA SPLICING%GO%GO:0008380	Details ...	221	2.19565158	8.1648301	0.01	0.01	0.02725	6788	tags=85%, list=30%, signal=119%
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%REACT_1095.3	Details ...	28	2.43087451	7.3266589	0.01	0.01	0.604	4796	tags=75%, list=20%, signal=93%
SPLICEOSOME%KEGG%HSA03040	SPLICEOSOME%KEGG%HSA03040	Details ...	127	2.24412976	8.0766822	0.01	0.01	0.02775	6768	tags=82%, list=24%, signal=107%
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261		68	2.16624934	7.3735826	0.01	0.01	0.49225	5987	tags=75%, list=24%, signal=99%
MRNA PROCESSING%REACTOME%REACT_1675.2	MRNA PROCESSING%REACTOME%REACT_1675.2		150	1.66512675	5.8432462	0.01	0.01	0.191333333333333	6768	tags=90%, list=33%, signal=133%
MISMATCH REPAIR%KEGG%HSA03430	MISMATCH REPAIR%KEGG%HSA03430		22	2.67075207	7.6970184	0.01	0.01	0.175	5516	tags=82%, list=24%, signal=107%
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%REACT_74.3		16	2.6633566	7.1237331	0.01	0.01	0.72525	5516	tags=94%, list=24%, signal=123%
EXTENSION OF TELOMERES%REACTOME%REACT_8030.5	EXTENSION OF TELOMERES%REACTOME%REACT_8030.5		27	1.86986697	5.4481395	0.01	0.01	0.590333333333333	5897	tags=78%, list=20%, signal=97%
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME%REACT_1998.3		16	2.03557235	5.4164436	0.01	0.01	0.593	5516	tags=94%, list=24%, signal=123%
MRNA PROCESSING%GO%GO:0006397	MRNA PROCESSING%GO%GO:0006397		251	2.10374522	7.8671457	0.01	0.01	0.09625	6788	tags=84%, list=33%, signal=125%
REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3	REPAIR SYNTHESIS OF PATCH ~27-30 BASES LONG BY DNA POLYMERASE%REACTOME%REACT_378.3		15	2.69635997	7.2029176	0.01	0.01	0.6405	5516	tags=93%, list=24%, signal=123%
REPAIR SYNTHESIS FOR GAP-FILLING BY DNA POLYMERASE IN TC-NER%REACTOME%REACT_1993.3	REPAIR SYNTHESIS FOR GAP-FILLING BY DNA POLYMERASE IN TC-NER%REACTOME%REACT_1993.3		15	2.07245547	5.413832	0.01	0.01	0.569	5516	tags=93%, list=24%, signal=123%
TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GO%GO:0032201	TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GO%GO:0032201		21	1.89022676	5.3235493	0.01	0.01	0.673333333333333	5458	tags=86%, list=24%, signal=113%
RNA PROCESSING%GO%GO:0006396	RNA PROCESSING%GO%GO:0006396		406	1.59276318	5.7636045	0.01	0.01	0.121333333333333	6788	tags=84%, list=38%, signal=133%
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GO%GO:0022618	RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GO%GO:0022618		91	2.09130156	7.3343737	0.01	0.01	0.46725	6766	tags=87%, list=35%, signal=134%
LAGGING STRAND SYNTHESIS%REACTOME%REACT_312.5	LAGGING STRAND SYNTHESIS%REACTOME%REACT_312.5		19	1.92225766	5.3095533	0.01	0.01	0.685666666666667	5458	tags=84%, list=24%, signal=111%
S PHASE%REACTOME%REACT_899.6	S PHASE%REACTOME%REACT_899.6		118	1.7020317	6.0522843	0.01	0.01	0.0393333333333333	5728	tags=77%, list=32%, signal=112%
DNA REPLICATION%REACTOME%REACT_383.6	DNA REPLICATION%REACTOME%REACT_383.6		100	2.26306209	8.0208469	0.01	0.01	0.155	6367	tags=72%, list=27%, signal=98%
SPLICEOSOMAL COMPLEX ASSEMBLY%GO%GO:0000245	SPLICEOSOMAL COMPLEX ASSEMBLY%GO%GO:0000245		33	2.36476146	7.3248548	0.01	0.01	0.4645	6766	tags=82%, list=24%, signal=108%
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071826	RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071826		98	2.04125347	7.2083692	0.01	0.01	0.57475	6766	tags=85%, list=35%, signal=130%
MITOTIC RECOMBINATION%GO%GO:0006312	MITOTIC RECOMBINATION%GO%GO:0006312		30	1.7681217	5.2802446	0.01	0.01	0.661	6039	tags=77%, list=24%, signal=101%
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME%REACT_16936.2	PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME%REACT_16936.2		23	3.34464	9.8274569	0.01	0.01	0.2264	5983	tags=100%, list=35%, signal=153%
POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3	POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3		41	1.78190721	5.6013297	0.01	0.01	0.206666666666667	6539	tags=71%, list=15%, signal=83%
CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3	CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3		41	1.78190721	5.5690477	0.01	0.01	0.259	6539	tags=71%, list=15%, signal=83%
CELL CYCLE CHECKPOINTS%REACTOME%REACT_1538.1	CELL CYCLE CHECKPOINTS%REACTOME%REACT_1538.1		112	1.6531857	5.8927072	0.01	0.01	0.0683333333333333	5380	tags=79%, list=33%, signal=117%
S PHASE OF MITOTIC CELL CYCLE%GO%GO:0000084	S PHASE OF MITOTIC CELL CYCLE%GO%GO:0000084		120	2.15954093	7.7139387	0.01	0.01	0.2795	6414	tags=77%, list=32%, signal=112%
G1 S TRANSITION%REACTOME%REACT_1783.2	G1 S TRANSITION%REACTOME%REACT_1783.2		105	1.6736872	5.9468502	0.01	0.01	0.066	5290	tags=74%, list=31%, signal=108%
RNA LOCALIZATION%GO%GO:0006403	RNA LOCALIZATION%GO%GO:0006403		81	1.55567625	5.3822517	0.01	0.01	0.628666666666667	6328	tags=88%, list=38%, signal=141%
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2	RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2		41	1.78190721	5.5765697	0.01	0.01	0.232	6539	tags=71%, list=15%, signal=83%
SYNTHESIS OF DNA%REACTOME%REACT_2014.3	SYNTHESIS OF DNA%REACTOME%REACT_2014.3		93	2.29766648	8.0883004	0.01	0.01	0.122	6367	tags=74%, list=27%, signal=102%
ESTABLISHMENT OF RNA LOCALIZATION%GO%GO:0051236	ESTABLISHMENT OF RNA LOCALIZATION%GO%GO:0051236		77	1.56018573	5.4278028	0.01	0.01	0.551666666666667	6328	tags=87%, list=38%, signal=140%
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%REACT_17029.2	COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%REACT_17029.2		24	3.35679701	9.9262763	0.01	0.01	0.2194	5983	tags=100%, list=35%, signal=153%
RNA EXPORT FROM NUCLEUS%GO%GO:0006405	RNA EXPORT FROM NUCLEUS%GO%GO:0006405		69	1.57905407	5.4027606	0.01	0.01	0.606	6328	tags=87%, list=38%, signal=140%
MRNA METABOLIC PROCESS%GO%GO:0016071	MRNA METABOLIC PROCESS%GO%GO:0016071		462	2.45235941	9.5214583	0.01	0.01	0.3694	6788	tags=80%, list=35%, signal=119%
TERMINATION OF RNA POLYMERASE II TRANSCRIPTION%GO%GO:0006369	TERMINATION OF RNA POLYMERASE II TRANSCRIPTION%GO%GO:0006369		44	1.76017648	5.5887032	0.01	0.01	0.198666666666667	6539	tags=68%, list=15%, signal=80%
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GO%GO:0022613	RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GO%GO:0022613		145	1.60584987	5.5954416	0.01	0.01	0.375333333333333	6766	tags=85%, list=35%, signal=130%
RNA TRANSPORT%GO%GO:0050658	RNA TRANSPORT%GO%GO:0050658		77	1.56018573	5.3954265	0.01	0.01	0.591666666666667	6328	tags=87%, list=38%, signal=140%
MRNA TRANSPORT%GO%GO:0051028	MRNA TRANSPORT%GO%GO:0051028		64	1.57335118	5.3162508	0.01	0.01	0.695	6328	tags=86%, list=38%, signal=139%
NUCLEIC ACID TRANSPORT%GO%GO:0050657	NUCLEIC ACID TRANSPORT%GO%GO:0050657		77	1.56018573	5.364996	0.01	0.01	0.642333333333333	6328	tags=87%, list=38%, signal=140%
S PHASE%GO%GO:0051320	S PHASE%GO%GO:0051320		129	2.16822116	7.8067626	0.01	0.01	0.24525	6538	tags=84%, list=40%, signal=138%
REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0048024	REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GO%GO:0048024		29	1.8246784	5.528011	0.01	0.01	0.436666666666667	6232	tags=86%, list=35%, signal=132%
POST-ELONGATION PROCESSING OF INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_397.2	POST-ELONGATION PROCESSING OF INTRON-CONTAINING PRE-MRNA%REACTOME%REACT_397.2		33	1.77755719	5.4104238	0.01	0.01	0.457333333333333	6539	tags=97%, list=38%, signal=156%
'DE NOVO' PROTEIN FOLDING%GO%GO:0006458	'DE NOVO' PROTEIN FOLDING%GO%GO:0006458		41	2.86342029	9.3129443	0.01	0.01	0.4916	5983	tags=85%, list=32%, signal=126%
INTERPHASE OF MITOTIC CELL CYCLE%GO%GO:0051329	INTERPHASE OF MITOTIC CELL CYCLE%GO%GO:0051329		186	2.02684792	7.4334216	0.01	0.01	0.3215	6574	tags=66%, list=32%, signal=96%
CHOLESTEROL BIOSYNTHESIS%REACTOME%REACT_9405.3	CHOLESTEROL BIOSYNTHESIS%REACTOME%REACT_9405.3		20	2.89849524	8.3109931	0.01	0.01	0.234	3895	tags=85%, list=24%, signal=111%
G1/S TRANSITION OF MITOTIC CELL CYCLE%GO%GO:0000082	G1/S TRANSITION OF MITOTIC CELL CYCLE%GO%GO:0000082		130	1.62769014	5.838514	0.01	0.01	0.144666666666667	4909	tags=66%, list=30%, signal=93%
MRNA 3'-END PROCESSING%GO%GO:0031124	MRNA 3'-END PROCESSING%GO%GO:0031124		78	1.59996946	5.3604217	0.01	0.01	0.517666666666667	6539	tags=87%, list=38%, signal=140%
DNA REPLICATION PRE-INITIATION%REACTOME%REACT_734.3	DNA REPLICATION PRE-INITIATION%REACTOME%REACT_734.3		79	2.2813828	7.9118873	0.01	0.01	0.29075	6354	tags=76%, list=31%, signal=110%
DNA REPLICATION%GO%GO:0006260	DNA REPLICATION%GO%GO:0006260		132	1.48602419	5.324434	0.01	0.01	0.611	5987	tags=70%, list=33%, signal=104%
RIBOSOME BIOGENESIS%GO%GO:0042254	RIBOSOME BIOGENESIS%GO%GO:0042254		70	1.64513393	5.5918006	0.01	0.01	0.460666666666667	6967	tags=96%, list=42%, signal=165%
RNA 3'-END PROCESSING%GO%GO:0031123	RNA 3'-END PROCESSING%GO%GO:0031123		89	1.5711697	5.3319254	0.01	0.01	0.569666666666667	6539	tags=85%, list=38%, signal=137%
M G1 TRANSITION%REACTOME%REACT_1725.3	M G1 TRANSITION%REACTOME%REACT_1725.3		79	2.2813828	7.9297757	0.01	0.01	0.31225	6354	tags=76%, list=31%, signal=110%
RRNA PROCESSING%GO%GO:0006364	RRNA PROCESSING%GO%GO:0006364		50	1.74360817	5.7234132	0.01	0.01	0.275	6794	tags=96%, list=41%, signal=163%
'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GO%GO:0051084	'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GO%GO:0051084		36	3.01750675	9.6304588	0.01	0.01	0.3678	5983	tags=86%, list=32%, signal=127%
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%REACT_1258.3	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%REACT_1258.3		56	3.08713396	10.8034932	0.01	0.01	0.096	6794	tags=96%, list=41%, signal=163%
MRNA 3'-END PROCESSING%REACTOME%REACT_1849.3	MRNA 3'-END PROCESSING%REACTOME%REACT_1849.3		33	1.77755719	5.4198381	0.01	0.01	0.444333333333333	6539	tags=97%, list=38%, signal=156%
MITOTIC G1-G1 S PHASES%REACTOME%REACT_21267.3	MITOTIC G1-G1 S PHASES%REACTOME%REACT_21267.3		127	1.5772207	5.6281401	0.01	0.01	0.24	5139	tags=66%, list=30%, signal=93%
INFLUENZA LIFE CYCLE%REACTOME%REACT_6145.4	INFLUENZA LIFE CYCLE%REACTOME%REACT_6145.4		132	2.67348122	10.2194832	0.01	0.01	0.2346	6794	tags=92%, list=41%, signal=156%
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%REACT_931.2	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%REACT_931.2		55	3.06243714	10.6177198	0.01	0.01	0.1164	6794	tags=96%, list=41%, signal=163%
