Name	Description	Fetal_Brain	Fetal_Heart	Fetal_Liver	Fetal_Gut	Fetal_Ovary	Fetal_Testis	Fetal_Placenta	Adult_FrontalCortex	Adult_Retina	Adult_SpinalCord	Adult_Lung	Adult_Heart	Adult_Liver	Adult_AdrenalGland	Adult_GallBladder	Adult_Pancreas	Adult_Kidney	Adult_Esophagus	Adult_Colon	Adult_Rectum	Adult_UrinaryBladder	Adult_Prostate	Adult_Ovary	Adult_Testis	Immune_Bcell	Immune_CD4	Immune_CD8	Immune_NK	Immune_Monocyte	Immune_Platelet
ABHD14A		0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABHD14B		11	36	190	56	58	65	42	18	56	37	37	11	175	156	51	114	213	46	45	58	30	64	64	97	64	149	227	80	67	88
ABHD15		0	0	0	9	0	0	0	4	3	2	0	0	4	0	0	3	0	0	0	0	5	5	3	3	4	3	5	5	3	2
ABHD16A		15	11	23	10	38	16	9	67	61	26	10	16	7	47	20	23	21	5	10	3	17	16	25	68	18	7	25	47	13	203
ABHD16B		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
ABHD2		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ABHD3		0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
ABHD4		0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD5		0	23	3	0	4	8	5	5	0	5	0	25	0	10	6	3	0	8	0	0	0	0	3	5	0	0	0	0	0	0
ABHD6		17	0	8	4	34	27	0	17	20	12	3	0	7	16	0	0	12	0	3	0	0	2	3	11	0	0	0	0	0	0
ABHD8		0	0	0	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1		34	22	17	29	76	43	10	97	41	32	12	0	5	6	14	70	7	6	36	3	28	47	28	46	27	36	49	25	28	98
ABI2		54	16	5	7	58	31	7	112	30	27	0	0	0	0	9	23	5	6	50	0	28	28	37	52	8	11	10	7	6	28
ABI3		0	3	0	0	0	0	0	3	5	5	5	0	0	0	0	12	0	0	0	0	5	2	0	0	15	16	48	44	12	0
ABI3BP		0	10	2	38	0	0	3	0	7	55	30	10	0	0	72	23	0	31	42	82	49	38	66	74	0	0	0	2	50	0
ABL1		6	6	0	8	4	10	3	8	9	11	42	7	4	14	9	14	20	0	7	24	8	7	11	14	13	5	19	2	7	0
ABL2		6	3	5	0	0	10	0	24	15	5	0	3	0	0	0	6	0	0	0	0	5	2	3	14	8	0	13	2	7	0
ABLIM1		56	176	21	10	43	17	0	105	70	60	18	300	3	98	52	50	7	35	19	0	30	23	73	74	14	34	72	19	0	26
ABLIM2		36	5	0	0	0	0	0	80	25	21	0	9	0	0	6	20	0	6	0	0	0	2	3	0	0	5	3	0	0	5
ABLIM3		8	5	0	0	0	0	0	10	15	2	0	9	13	0	12	3	0	0	0	0	3	4	3	3	0	5	3	0	0	23
ABO		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABP1		0	0	0	112	0	0	21	0	0	0	0	0	0	0	0	0	134	0	41	21	0	7	0	0	0	0	0	0	0	0
ABR		41	31	3	18	0	2	0	176	22	51	5	5	0	19	20	15	0	0	13	11	20	11	18	22	20	23	32	22	29	0
ABT1		0	0	0	0	5	2	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	19	13	18	2	0	0
ABTB1		0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABTB2		5	0	0	0	0	2	0	3	5	0	0	0	0	3	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
ACAA1		25	49	852	33	57	112	33	50	32	46	52	25	170	98	19	43	239	6	25	3	26	45	70	95	27	35	29	9	34	19
ACAA2		42	221	372	89	221	315	68	148	97	104	84	292	1012	319	246	241	1025	44	181	119	59	85	181	247	130	166	235	166	94	15
ACACA		113	14	80	4	57	67	0	101	51	42	16	7	45	94	43	46	0	5	31	0	76	51	80	62	0	0	11	0	6	19
ACACB		20	8	12	3	10	7	0	14	12	8	15	9	124	116	26	52	9	3	12	0	13	12	17	10	0	4	13	0	0	0
ACAD10		0	8	13	5	9	2	0	0	3	0	3	0	3	11	0	0	38	0	3	0	0	0	0	8	0	0	3	0	0	0
ACAD11		0	16	76	8	19	0	5	0	7	3	0	4	111	20	0	0	61	0	0	0	0	3	18	27	0	6	0	0	0	0
ACAD8		25	32	7	11	42	15	7	29	39	14	16	33	0	12	8	27	69	0	17	0	13	23	17	37	18	24	26	11	0	7
ACAD9		19	75	49	56	76	29	23	63	79	41	24	71	55	89	8	79	66	16	32	8	16	26	48	48	33	29	40	33	91	24
ACADL		0	0	5	0	0	0	0	0	3	7	11	0	12	3	9	22	39	0	0	0	0	12	26	8	0	8	0	0	0	0
ACADM		65	201	258	39	241	212	34	41	48	45	36	342	452	212	27	134	601	70	69	42	15	27	99	112	81	55	65	34	56	65
ACADS		0	76	133	62	30	26	53	22	25	18	33	55	232	65	15	70	97	5	75	37	17	21	40	55	18	52	50	25	25	14
ACADSB		31	57	1167	38	28	37	29	39	79	24	20	57	689	113	12	40	463	38	16	5	15	30	48	62	18	51	37	25	17	40
ACADVL		38	270	403	159	163	109	534	165	144	158	140	835	558	801	163	348	800	248	247	151	117	143	182	171	153	125	221	111	463	137
ACAN		0	48	0	0	4	0	0	44	0	45	0	0	0	0	3	12	4	0	0	0	0	42	29	0	0	0	0	0	195	0
ACAP1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	2	0	0	158	145	146	61	30	13
ACAP2		11	20	6	20	22	19	7	27	5	13	14	0	10	15	11	32	14	11	18	0	17	20	42	43	83	52	96	74	49	27
ACAP3		0	3	0	0	0	0	0	5	5	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	5	3	4	7	6	0
ACAT1		126	378	368	48	251	279	46	279	189	123	88	464	637	670	157	334	914	150	180	133	88	150	210	286	96	99	148	48	55	19
ACAT2		145	45	443	37	156	480	42	112	54	112	14	3	125	107	27	40	48	27	28	16	24	35	83	97	74	90	77	27	27	55
ACBD3		23	33	36	25	45	17	22	9	35	12	16	15	18	62	6	82	10	7	33	16	14	31	58	58	40	24	44	24	35	26
ACBD4		0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ACBD5		0	4	12	9	11	16	0	15	19	7	0	3	15	24	0	6	4	0	6	0	3	5	15	52	3	0	5	2	15	0
ACBD6		5	4	0	4	13	6	0	7	3	2	0	0	0	0	0	3	0	0	3	0	3	5	9	11	3	0	8	0	0	0
ACBD7		22	6	0	2	10	11	0	94	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN1		0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN2		0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ACCS		0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	0	8	0	9
ACCSL		0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ACD		5	0	0	0	4	8	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	5	7	2	0	0
ACE		3	18	0	91	34	17	0	5	9	14	107	0	6	25	7	9	160	11	8	5	15	25	56	44	0	0	3	0	0	6
ACE2		0	6	0	71	0	0	0	0	0	0	0	5	0	0	5	15	58	0	0	0	0	0	99	117	0	0	0	2	0	0
ACER1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACER3		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHE		0	0	3	5	0	0	0	0	23	0	0	5	6	3	0	0	9	5	3	0	0	0	0	0	0	0	0	0	0	0
ACIN1		84	79	91	63	177	83	24	13	101	7	10	0	6	71	49	65	5	7	18	8	30	26	166	137	216	177	189	161	82	2
ACLY		314	125	560	259	1280	1695	178	392	275	355	115	23	118	292	74	309	59	18	102	35	60	147	268	258	370	131	178	189	169	250
ACMSD		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN9		0	0	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1		110	183	334	298	202	229	143	126	303	145	33	141	463	283	119	303	490	65	174	146	86	192	361	322	41	38	70	26	24	75
ACO2		325	1060	366	338	367	207	289	1406	689	572	171	1686	373	792	328	535	1462	330	353	270	226	280	432	407	356	462	469	212	253	203
ACOT1		42	249	200	46	74	101	40	89	59	34	34	287	153	136	30	50	304	51	78	85	74	54	77	87	37	28	49	11	9	17
ACOT11		0	23	0	23	4	7	0	7	7	0	5	11	0	0	0	6	5	4	28	5	10	7	3	3	0	0	0	0	3	0
ACOT12		0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ACOT13		9	28	37	10	36	27	10	38	28	29	10	32	35	28	7	21	39	10	24	11	11	13	16	25	13	26	35	14	0	23
ACOT2		42	270	203	49	82	106	40	90	59	34	34	288	153	137	31	50	307	50	78	85	74	54	77	87	37	29	49	11	9	17
ACOT4		0	0	5	0	4	0	0	0	0	0	0	3	3	3	0	8	4	0	0	0	0	0	0	8	0	0	0	0	0	0
ACOT6		0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7		294	19	31	25	96	81	50	360	144	215	0	5	0	31	14	6	35	15	23	0	8	23	31	82	3	22	26	19	13	52
ACOT8		3	0	11	2	7	29	5	21	10	14	0	3	3	20	6	3	11	0	6	0	0	5	13	60	8	3	8	4	6	11
ACOT9		43	122	21	22	108	61	24	108	59	28	57	124	14	80	34	47	38	41	58	45	47	61	69	78	60	51	54	26	41	26
ACOX1		33	10	196	29	40	54	32	31	29	23	20	5	120	37	14	9	162	22	27	29	18	12	71	63	6	7	5	2	17	115
ACOX2		0	3	144	9	19	10	0	3	3	0	7	3	301	8	20	6	95	0	6	0	3	9	37	68	0	0	0	0	0	13
ACOX3		8	11	16	2	8	9	28	7	8	5	6	10	8	8	10	5	9	10	25	3	3	21	11	11	9	10	5	0	15	0
ACP1		84	77	83	47	112	165	58	51	67	47	22	29	22	34	32	51	46	17	39	27	28	42	52	64	42	65	110	49	35	69
ACP2		14	9	45	26	18	17	34	14	16	5	11	6	16	60	3	15	10	5	3	3	0	0	8	33	0	7	17	6	28	11
ACP5		0	0	5	2	0	0	0	0	0	0	13	0	0	0	0	0	4	0	3	0	0	3	0	0	5	0	3	5	0	0
ACP6		0	0	0	2	5	2	0	0	0	0	0	0	0	3	0	0	4	0	0	0	3	2	4	11	0	8	11	0	0	0
ACPP		5	0	0	0	0	8	10	0	3	0	0	0	0	0	0	3	0	8	3	0	5	297	0	0	6	0	0	0	12	0
ACR		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	101	0	0	0	0	0	0
ACRBP		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	122	0	0	0	0	0	0
ACRC		0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0
ACRV1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	41	0	0	0	0	0	0
ACSBG1		0	0	0	3	0	0	0	34	0	56	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	7
ACSBG2		0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ACSF2		0	98	131	56	92	43	57	26	16	16	15	30	48	377	19	41	588	4	42	32	23	26	60	60	45	14	24	12	10	6
ACSF3		6	16	25	10	16	14	0	32	37	2	11	8	19	47	3	25	42	0	9	3	5	13	12	19	39	23	47	15	15	6
ACSL1		30	70	323	7	21	22	7	43	102	55	94	405	1892	194	92	196	459	35	106	58	50	106	125	130	17	5	18	7	137	23
ACSL3		60	44	123	26	28	18	60	129	192	41	34	24	16	46	17	98	23	19	47	8	29	61	67	50	20	24	22	21	29	27
ACSL4		23	15	514	16	32	28	36	44	56	28	29	8	8	72	7	34	42	5	24	5	15	27	41	37	24	12	29	19	52	60
ACSL5		7	4	58	227	0	0	0	10	17	6	72	17	230	21	17	11	28	11	65	48	14	19	19	17	18	43	28	13	15	54
ACSL6		9	10	17	14	5	0	0	212	237	72	10	22	94	12	4	9	17	11	7	5	6	6	57	53	5	7	4	2	8	6
ACSM1		0	0	3	0	0	0	0	0	0	0	0	0	25	3	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2A		0	0	72	0	0	0	0	0	0	0	0	0	1007	0	0	0	1291	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B		0	0	64	0	0	0	0	0	0	0	0	0	971	0	0	0	1387	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3		0	6	29	0	0	0	0	7	3	0	0	0	58	0	0	43	144	0	19	3	3	10	0	3	0	0	3	0	0	0
ACSM4		0	3	2	0	0	0	0	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5		0	3	0	0	0	0	0	9	0	5	0	3	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ACSS1		19	57	35	66	78	87	322	79	30	30	17	164	0	22	8	109	69	6	24	21	10	36	108	79	86	34	53	50	20	52
ACSS2		7	29	120	7	99	179	4	26	26	16	14	11	56	82	4	42	11	6	47	37	18	22	44	43	10	10	9	7	38	19
ACSS3		0	19	93	7	18	11	0	35	16	44	12	38	93	82	12	25	145	0	3	0	0	10	67	35	0	7	0	2	0	0
ACTA1		3192	8137	3450	3214	2280	2590	3096	2613	1242	2044	2890	5606	1619	2854	9402	2445	2467	5455	9844	5314	11262	11761	4526	3226	2043	3245	4052	4944	2847	5837
ACTA2		2743	8494	3120	3405	2073	2329	2763	2442	1200	1993	2855	5507	1519	2726	10136	2557	2366	5399	11348	6056	12640	13247	4885	3483	1877	2982	3796	4459	2674	5352
ACTB		7115	6186	6592	4526	7538	7008	5893	4894	2331	3668	4300	2749	2625	4770	8286	3855	4105	4002	7260	3620	7702	8159	5719	4089	4509	7230	8510	10515	5993	10983
ACTBL2		1249	1776	1467	1425	907	975	1200	1229	614	987	925	1199	560	1293	3427	1051	877	1229	2579	1346	3120	3227	1409	1164	951	1091	1831	1971	954	2143
ACTC1		3202	8961	3486	3514	2325	2647	3136	2647	1253	2083	2984	5766	1632	2931	10081	2582	2552	5485	11318	5968	12534	13118	4918	3505	2072	3249	4065	4972	2847	5842
ACTG1		7117	6181	6654	4431	7591	7029	5885	4830	2345	3619	4233	2745	2611	4748	8243	3822	4057	3956	7147	3578	7580	8108	5706	4065	4452	7202	8428	10432	5862	10864
ACTG2		2728	8020	3077	3316	2053	2311	2692	2421	1187	1968	2745	4889	1481	2618	9968	2489	2251	4994	11176	5987	12132	13005	4744	3372	1876	2975	3793	4450	2670	5350
ACTL6A		15	45	25	15	142	72	8	7	43	14	23	0	3	28	14	48	21	10	38	27	38	45	69	105	39	52	71	50	32	9
ACTL6B		29	6	4	2	10	2	0	7	18	3	0	0	0	6	3	9	0	4	4	5	0	3	7	7	5	16	12	3	12	0
ACTL7A		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	68	0	0	0	0	0	0
ACTL7B		0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	98	0	0	0	0	0	0
ACTL8		0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
ACTL9		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ACTN1		297	1774	980	990	437	593	1456	961	500	436	1361	1626	950	1421	2451	1509	1217	1891	3439	2576	3017	2841	1136	852	526	951	1113	712	1029	4955
ACTN2		146	3937	279	272	165	158	524	556	227	166	416	5138	443	664	591	431	445	2941	874	734	719	810	351	214	192	196	321	249	287	1362
ACTN3		80	876	142	202	99	133	318	179	127	83	213	926	235	444	351	231	361	678	412	387	333	327	148	110	155	127	173	213	149	777
ACTN4		447	1449	1277	1284	840	952	1989	794	996	647	1863	1129	1263	2177	1761	1819	2246	1830	1803	1659	1598	1698	1196	820	920	1065	1764	1557	1132	2559
ACTR10		45	20	16	5	28	45	9	50	33	26	7	6	5	24	23	15	20	8	20	19	14	20	37	39	17	23	18	5	10	20
